src,trg,spm-sacre
ar,af,11.2
ar,am,0.5
ar,ast,7.9
ar,az,2.0
ar,be,0.7
ar,bg,15.6
ar,bn,10.4
ar,bs,10.4
ar,ca,15.7
ar,ceb,1.5
ar,cs,11.5
ar,cy,4.3
ar,da,14.1
ar,de,10.8
ar,el,11.5
ar,en,15.9
ar,es,11.1
ar,et,10.6
ar,fa,11.9
ar,ff,0.04
ar,fi,8.5
ar,fr,17.5
ar,ga,0.3
ar,gl,13.7
ar,gu,0.1
ar,ha,1.0
ar,he,9.5
ar,hi,12.5
ar,hr,10.4
ar,hu,10.4
ar,hy,1.2
ar,id,14.2
ar,ig,1.4
ar,is,7.1
ar,it,11.3
ar,ja,10.3
ar,jv,4.4
ar,ka,1.6
ar,kk,0.1
ar,km,3.8
ar,kn,0.4
ar,ko,7.6
ar,lb,3.0
ar,lg,0.1
ar,ln,0.1
ar,lo,1.6
ar,lt,11.2
ar,lv,12.4
ar,mk,14.4
ar,ml,3.2
ar,mn,2.0
ar,mr,1.6
ar,ms,11.9
ar,my,1.0
ar,ne,0.1
ar,nl,10.5
ar,no,11.2
ar,ns,0.4
ar,oc,7.1
ar,or,0.02
ar,pa,1.6
ar,pl,8.4
ar,ps,3.9
ar,pt,16.4
ar,ro,15.4
ar,ru,10.9
ar,sd,0.05
ar,sk,12.0
ar,sl,11.2
ar,so,0.6
ar,sr,12.8
ar,sv,13.1
ar,sw,9.0
ar,ta,0.7
ar,th,4.2
ar,tl,2.0
ar,tr,8.4
ar,uk,10.8
ar,ur,7.0
ar,uz,0.4
ar,vi,16.5
ar,wo,0.05
ar,xh,0.6
ar,yo,0.3
ar,zh,7.6
ar,zu,0.6
