src,trg,spm-sacre
az,af,3.3
az,am,0.3
az,ar,0.2
az,ast,2.4
az,be,1.1
az,bg,6.5
az,bn,3.1
az,bs,4.5
az,ca,7.7
az,ceb,0.9
az,cs,3.9
az,cy,2.7
az,da,3.1
az,de,4.5
az,el,5.4
az,en,5.1
az,es,5.3
az,et,5.4
az,fa,3.6
az,ff,0.05
az,fi,4.6
az,fr,6.8
az,ga,0.2
az,gl,4.8
az,gu,0.2
az,ha,0.5
az,he,3.3
az,hi,5.6
az,hr,3.4
az,hu,6.1
az,hy,0.4
az,id,3.8
az,ig,1.1
az,is,3.3
az,it,5.1
az,ja,2.5
az,jv,1.1
az,ka,0.5
az,kk,0.5
az,km,1.3
az,kn,0.2
az,ko,2.3
az,lb,1.3
az,lg,0.1
az,ln,0.1
az,lo,0.7
az,lt,6.6
az,lv,5.7
az,mk,6.3
az,ml,1.5
az,mn,1.4
az,mr,1.5
az,ms,3.6
az,my,0.4
az,ne,0.2
az,nl,4.1
az,no,4.1
az,ns,0.5
az,oc,2.6
az,or,0.1
az,pa,1.1
az,pl,3.8
az,ps,2.5
az,pt,5.5
az,ro,6.4
az,ru,3.1
az,sd,0.02
az,sk,4.5
az,sl,4.2
az,so,0.4
az,sr,3.8
az,sv,4.9
az,sw,3.5
az,ta,0.9
az,th,0.8
az,tl,2.4
az,tr,6.1
az,uk,4.2
az,ur,1.6
az,uz,1.0
az,vi,8.5
az,wo,0.1
az,xh,0.7
az,yo,0.2
az,zh,2.1
az,zu,0.6
