src,trg,spm-sacre
af,de,20.8
am,de,1.8
ar,de,10.8
ast,de,14.5
az,de,4.5
be,de,6.6
bg,de,18.9
bn,de,9.7
bs,de,19.9
ca,de,20.7
ceb,de,8.3
cs,de,20.2
cy,de,9.6
da,de,24.5
el,de,15.1
en,de,22.3
es,de,15.6
et,de,18.1
fa,de,13.4
ff,de,1.0
fi,de,16.2
fr,de,21.3
ga,de,1.0
gl,de,19.4
gu,de,0.2
ha,de,3.0
he,de,13.8
hi,de,11.8
hr,de,18.9
hu,de,17.3
hy,de,5.6
id,de,16.6
ig,de,2.7
is,de,13.1
it,de,18.4
ja,de,10.7
jv,de,8.6
ka,de,5.0
kk,de,3.3
km,de,6.3
kn,de,1.8
ko,de,10.3
lb,de,19.2
lg,de,2.1
ln,de,1.9
lo,de,5.1
lt,de,16.4
lv,de,10.1
mk,de,19.2
ml,de,7.3
mn,de,6.4
mr,de,7.1
ms,de,16.1
my,de,4.1
ne,de,3.1
nl,de,18.5
no,de,20.9
ns,de,2.7
oc,de,16.8
or,de,0.6
pa,de,2.9
pl,de,15.9
ps,de,7.3
pt,de,21.3
ro,de,21.3
ru,de,17.0
sd,de,0.4
sk,de,19.9
sl,de,18.2
so,de,2.0
sr,de,19.3
sv,de,23.9
sw,de,12.3
ta,de,3.1
th,de,6.9
tl,de,10.2
tr,de,14.8
uk,de,17.5
ur,de,8.4
uz,de,1.0
vi,de,15.0
wo,de,2.0
xh,de,3.1
yo,de,1.6
zh,de,11.9
zu,de,3.0
