src,trg,spm-sacre
ceb,af,13.6
ceb,am,1.4
ceb,ar,4.8
ceb,ast,11.5
ceb,az,4.3
ceb,be,5.6
ceb,bg,13.5
ceb,bn,7.7
ceb,bs,10.2
ceb,ca,17.4
ceb,cs,10.8
ceb,cy,9.0
ceb,da,12.4
ceb,de,11.7
ceb,el,11.7
ceb,en,21.1
ceb,es,13.4
ceb,et,11.6
ceb,fa,8.8
ceb,ff,0.4
ceb,fi,9.0
ceb,fr,16.7
ceb,ga,0.9
ceb,gl,15.2
ceb,gu,0.8
ceb,ha,2.9
ceb,he,8.3
ceb,hi,10.2
ceb,hr,10.3
ceb,hu,10.1
ceb,hy,2.2
ceb,id,15.3
ceb,ig,2.5
ceb,is,9.0
ceb,it,13.6
ceb,ja,7.9
ceb,jv,11.0
ceb,ka,1.8
ceb,kk,2.8
ceb,km,4.0
ceb,kn,0.7
ceb,ko,6.0
ceb,lb,9.3
ceb,lg,0.6
ceb,ln,0.9
ceb,lo,3.5
ceb,lt,10.6
ceb,lv,10.3
ceb,mk,14.0
ceb,ml,3.7
ceb,mn,2.7
ceb,mr,4.7
ceb,ms,13.2
ceb,my,1.6
ceb,ne,1.8
ceb,nl,11.9
ceb,no,11.8
ceb,ns,1.5
ceb,oc,11.5
ceb,or,0.2
ceb,pa,2.8
ceb,pl,9.6
ceb,ps,4.7
ceb,pt,17.5
ceb,ro,14.8
ceb,ru,10.0
ceb,sd,0.1
ceb,sk,11.6
ceb,sl,10.7
ceb,so,2.9
ceb,sr,11.9
ceb,sv,13.0
ceb,sw,11.4
ceb,ta,2.4
ceb,th,4.8
ceb,tl,17.6
ceb,tr,8.1
ceb,uk,10.6
ceb,ur,6.1
ceb,uz,1.0
ceb,vi,15.5
ceb,wo,0.6
ceb,xh,3.7
ceb,yo,1.5
ceb,zh,8.3
ceb,zu,3.7
