src,trg,spm-sacre
zh,af,16.5
zh,am,1.2
zh,ar,11.5
zh,ast,15.7
zh,az,6.3
zh,be,4.8
zh,bg,22.2
zh,bn,16.5
zh,bs,16.2
zh,ca,23.0
zh,ceb,5.7
zh,cs,18.6
zh,cy,8.0
zh,da,19.9
zh,de,17.5
zh,el,16.8
zh,en,20.9
zh,es,16.9
zh,et,18.0
zh,fa,15.8
zh,ff,0.3
zh,fi,16.0
zh,fr,24.3
zh,ga,0.3
zh,gl,20.0
zh,gu,0.4
zh,ha,1.7
zh,he,14.2
zh,hi,18.5
zh,hr,17.6
zh,hu,18.6
zh,hy,3.5
zh,id,20.6
zh,ig,1.5
zh,is,12.0
zh,it,17.9
zh,ja,20.5
zh,jv,9.0
zh,ka,2.2
zh,kk,0.8
zh,km,5.7
zh,kn,1.0
zh,ko,15.9
zh,lb,9.2
zh,lg,0.3
zh,ln,0.6
zh,lo,3.0
zh,lt,19.0
zh,lv,10.6
zh,mk,20.6
zh,ml,8.2
zh,mn,4.6
zh,mr,7.6
zh,ms,17.7
zh,my,1.9
zh,ne,0.7
zh,nl,16.9
zh,no,16.1
zh,ns,0.8
zh,oc,13.2
zh,or,0.2
zh,pa,3.2
zh,pl,14.7
zh,ps,5.9
zh,pt,22.3
zh,ro,21.5
zh,ru,17.3
zh,sd,0.1
zh,sk,18.8
zh,sl,18.3
zh,so,1.5
zh,sr,18.0
zh,sv,19.7
zh,sw,15.5
zh,ta,2.5
zh,th,7.4
zh,tl,8.9
zh,tr,15.2
zh,uk,16.8
zh,ur,10.5
zh,uz,0.9
zh,vi,25.8
zh,wo,0.4
zh,xh,1.9
zh,yo,0.7
zh,zu,2.0
