src,trg,spm-sacre
af,en,47.3
am,en,7.6
ar,en,25.5
ast,en,27.6
az,en,7.4
be,en,12.4
bg,en,32.9
bn,en,22.8
bs,en,33.9
ca,en,38.2
ceb,en,21.1
cs,en,32.2
cy,en,33.0
da,en,41.1
de,en,35.8
el,en,28.1
es,en,25.1
et,en,30.3
fa,en,26.1
ff,en,2.4
fi,en,27.2
fr,en,37.2
ga,en,1.8
gl,en,33.7
gu,en,0.5
ha,en,8.6
he,en,29.0
hi,en,27.9
hr,en,31.3
hu,en,28.4
hy,en,15.1
id,en,33.7
ig,en,7.4
is,en,25.0
it,en,28.7
ja,en,19.5
jv,en,20.9
ka,en,11.0
kk,en,8.0
km,en,15.6
kn,en,5.0
ko,en,20.9
lb,en,26.8
lg,en,4.5
ln,en,4.6
lo,en,11.8
lt,en,27.0
lv,en,28.8
mk,en,33.7
ml,en,17.8
mn,en,14.4
mr,en,18.7
ms,en,34.2
my,en,10.0
ne,en,10.8
nl,en,27.7
no,en,37.4
ns,en,6.8
oc,en,36.9
or,en,0.9
pa,en,8.1
pl,en,24.6
ps,en,17.0
pt,en,41.5
ro,en,36.6
ru,en,27.5
sd,en,1.4
sk,en,31.9
sl,en,28.8
so,en,5.2
sr,en,34.1
sv,en,40.1
sw,en,30.4
ta,en,8.4
th,en,16.3
tl,en,26.1
tr,en,28.8
uk,en,30.4
ur,en,18.9
uz,en,1.8
vi,en,29.5
wo,en,4.1
xh,en,10.9
yo,en,4.2
zh,en,20.9
zu,en,9.3
