src,trg,spm-sacre
af,ne,0.6
am,ne,1.1
ar,ne,0.3
ast,ne,0.2
az,ne,0.8
be,ne,0.9
bg,ne,0.5
bn,ne,0.6
bs,ne,9.6
ca,ne,0.5
ceb,ne,1.8
cs,ne,0.5
cy,ne,1.1
da,ne,0.3
de,ne,0.9
el,ne,0.1
en,ne,0.1
es,ne,0.1
et,ne,0.2
fa,ne,0.2
ff,ne,0.4
fi,ne,0.1
fr,ne,0.2
ga,ne,0.2
gl,ne,0.3
gu,ne,0.4
ha,ne,1.3
he,ne,0.2
hi,ne,1.2
hr,ne,0.7
hu,ne,0.4
hy,ne,0.1
id,ne,0.2
ig,ne,1.3
is,ne,0.5
it,ne,0.5
ja,ne,0.6
jv,ne,4.4
ka,ne,0.2
kk,ne,1.3
km,ne,1.4
kn,ne,2.1
ko,ne,0.9
lb,ne,0.6
lg,ne,0.7
ln,ne,0.9
lo,ne,2.1
lt,ne,0.2
lv,ne,0.2
mk,ne,0.7
ml,ne,0.8
mn,ne,5.8
mr,ne,1.3
ms,ne,0.3
my,ne,0.7
nl,ne,0.6
no,ne,0.2
ns,ne,0.5
oc,ne,0.2
or,ne,0.4
pa,ne,4.5
pl,ne,0.6
ps,ne,6.7
pt,ne,0.1
ro,ne,0.8
ru,ne,1.2
sd,ne,0.4
sk,ne,0.7
sl,ne,0.7
so,ne,0.8
sr,ne,0.8
sv,ne,0.7
sw,ne,1.1
ta,ne,0.5
th,ne,5.2
tl,ne,1.1
tr,ne,0.3
uk,ne,1.0
ur,ne,0.5
uz,ne,0.7
vi,ne,0.5
wo,ne,0.4
xh,ne,1.7
yo,ne,0.6
zh,ne,0.7
zu,ne,1.4
