src,trg,spm-sacre
az,af,17.5
az,am,9.8
az,ar,13.9
az,ast,15.4
az,be,14.0
az,bg,21.6
az,bn,18.4
az,bs,16.4
az,ca,22.0
az,ceb,12.7
az,cs,17.4
az,cy,13.1
az,da,19.8
az,de,19.4
az,el,17.4
az,en,21.8
az,es,17.8
az,et,17.8
az,fa,17.7
az,ff,0.0
az,fi,15.0
az,fr,24.3
az,ga,6.1
az,gl,18.1
az,gu,7.0
az,ha,8.3
az,he,17.3
az,hi,20.3
az,hr,17.0
az,hu,17.7
az,hy,12.6
az,id,13.6
az,ig,9.9
az,is,15.0
az,it,19.1
az,ja,16.1
az,jv,9.7
az,ka,10.9
az,kk,8.9
az,km,5.2
az,kn,6.9
az,ko,13.2
az,lb,1.8
az,lg,0.6
az,ln,0.7
az,lo,6.1
az,lt,18.5
az,lv,18.9
az,mk,20.7
az,ml,18.8
az,mn,6.9
az,mr,13.5
az,ms,18.2
az,my,3.8
az,ne,15.4
az,nl,17.0
az,no,16.2
az,ns,4.1
az,oc,15.0
az,or,1.7
az,pa,6.3
az,pl,14.9
az,ps,7.4
az,pt,22.4
az,ro,20.3
az,ru,18.0
az,sd,5.5
az,sk,18.4
az,sl,17.6
az,so,5.4
az,sr,19.1
az,sv,18.4
az,sw,17.1
az,ta,16.4
az,th,12.7
az,tl,17.9
az,tr,20.0
az,uk,18.4
az,ur,14.3
az,uz,1.1
az,vi,20.9
az,wo,2.0
az,xh,7.0
az,yo,1.9
az,zh,15.9
az,zu,8.8
