src,trg,spm-sacre
ne,af,25.4
ne,am,11.9
ne,ar,14.1
ne,ast,19.5
ne,az,13.4
ne,be,13.2
ne,bg,26.6
ne,bn,24.2
ne,bs,21.1
ne,ca,28.0
ne,ceb,19.1
ne,cs,23.0
ne,cy,17.7
ne,da,27.0
ne,de,25.4
ne,el,20.8
ne,en,35.8
ne,es,20.5
ne,et,21.7
ne,fa,16.2
ne,ff,0.1
ne,fi,18.1
ne,fr,30.8
ne,ga,7.9
ne,gl,24.0
ne,gu,11.8
ne,ha,10.4
ne,he,18.5
ne,hi,29.4
ne,hr,21.7
ne,hu,20.7
ne,hy,14.7
ne,id,21.7
ne,ig,12.0
ne,is,17.7
ne,it,21.1
ne,ja,18.1
ne,jv,12.7
ne,ka,12.8
ne,kk,12.9
ne,km,7.8
ne,kn,10.2
ne,ko,14.6
ne,lb,4.9
ne,lg,0.8
ne,ln,1.3
ne,lo,8.7
ne,lt,21.3
ne,lv,21.6
ne,mk,25.6
ne,ml,23.1
ne,mn,8.2
ne,mr,18.4
ne,ms,25.4
ne,my,5.2
ne,nl,20.7
ne,no,21.1
ne,ns,5.9
ne,oc,18.4
ne,or,2.6
ne,pa,11.5
ne,pl,17.4
ne,ps,9.3
ne,pt,29.2
ne,ro,26.1
ne,ru,19.2
ne,sd,8.2
ne,sk,23.3
ne,sl,21.7
ne,so,7.2
ne,sr,23.7
ne,sv,25.7
ne,sw,23.1
ne,ta,20.3
ne,th,14.2
ne,tl,22.4
ne,tr,19.8
ne,uk,20.8
ne,ur,18.1
ne,uz,1.3
ne,vi,27.1
ne,wo,3.1
ne,xh,8.9
ne,yo,2.2
ne,zh,18.2
ne,zu,11.1
