src,trg,spm-sacre
zh,af,22.4
zh,am,10.0
zh,ar,21.8
zh,ast,19.3
zh,az,13.8
zh,be,14.9
zh,bg,26.5
zh,bn,21.7
zh,bs,18.8
zh,ca,27.3
zh,ceb,13.8
zh,cs,23.1
zh,cy,15.6
zh,da,26.0
zh,de,24.8
zh,el,21.0
zh,en,29.2
zh,es,21.3
zh,et,22.0
zh,fa,20.9
zh,ff,0.1
zh,fi,19.7
zh,fr,30.7
zh,ga,6.1
zh,gl,23.6
zh,gu,8.7
zh,ha,8.8
zh,he,20.8
zh,hi,23.8
zh,hr,22.3
zh,hu,22.0
zh,hy,14.1
zh,id,25.8
zh,ig,11.2
zh,is,18.1
zh,it,22.1
zh,ja,20.7
zh,jv,11.2
zh,ka,12.2
zh,kk,11.8
zh,km,4.4
zh,kn,7.7
zh,ko,18.4
zh,lb,1.7
zh,lg,0.8
zh,ln,1.0
zh,lo,8.6
zh,lt,22.5
zh,lv,12.8
zh,mk,25.1
zh,ml,20.3
zh,mn,8.1
zh,mr,14.7
zh,ms,24.3
zh,my,4.4
zh,ne,16.8
zh,nl,21.3
zh,no,20.5
zh,ns,5.8
zh,oc,17.3
zh,or,1.8
zh,pa,8.2
zh,pl,18.9
zh,ps,6.9
zh,pt,27.2
zh,ro,25.8
zh,ru,21.9
zh,sd,6.3
zh,sk,23.2
zh,sl,22.0
zh,so,6.4
zh,sr,20.3
zh,sv,24.9
zh,sw,20.8
zh,ta,17.8
zh,th,16.3
zh,tl,17.6
zh,tr,21.8
zh,uk,21.0
zh,ur,15.9
zh,uz,0.6
zh,vi,27.8
zh,wo,2.5
zh,xh,7.9
zh,yo,2.2
zh,zu,9.8
