src,trg,spm-sacre
af,ar,27.7
am,ar,13.9
ast,ar,22.1
az,ar,13.9
be,ar,17.2
bg,ar,27.4
bn,ar,19.7
bs,ar,25.8
ca,ar,27.4
ceb,ar,20.7
cs,ar,25.4
cy,ar,17.7
da,ar,26.9
de,ar,26.3
el,ar,21.1
en,ar,33.9
es,ar,21.8
et,ar,24.0
fa,ar,23.6
ff,ar,2.8
fi,ar,23.1
fr,ar,26.7
ga,ar,8.2
gl,ar,26.2
gu,ar,11.6
ha,ar,10.9
he,ar,26.4
hi,ar,22.7
hr,ar,25.1
hu,ar,23.9
hy,ar,12.1
id,ar,24.1
ig,ar,10.2
is,ar,20.8
it,ar,22.9
ja,ar,18.7
jv,ar,15.3
ka,ar,15.1
kk,ar,5.4
km,ar,6.6
kn,ar,14.2
ko,ar,19.7
lb,ar,16.0
lg,ar,1.0
ln,ar,6.9
lo,ar,12.7
lt,ar,23.4
lv,ar,11.8
mk,ar,27.3
ml,ar,19.3
mn,ar,13.7
mr,ar,18.5
ms,ar,24.7
my,ar,7.5
ne,ar,14.1
nl,ar,21.1
no,ar,24.7
ns,ar,9.3
oc,ar,27.6
or,ar,4.7
pa,ar,12.4
pl,ar,21.1
ps,ar,14.6
pt,ar,27.2
ro,ar,26.9
ru,ar,24.3
sd,ar,0.6
sk,ar,25.0
sl,ar,23.5
so,ar,11.0
sr,ar,27.3
sv,ar,26.1
sw,ar,21.7
ta,ar,4.8
th,ar,18.8
tl,ar,18.3
tr,ar,24.1
uk,ar,26.1
ur,ar,19.1
uz,ar,4.7
vi,ar,21.7
wo,ar,5.6
xh,ar,7.0
yo,ar,5.6
zh,ar,21.8
zu,ar,13.6
