src,trg,spm-sacre
af,az,15.2
am,az,9.5
ar,az,14.7
ast,az,13.2
be,az,11.6
bg,az,15.8
bn,az,12.7
bs,az,15.6
ca,az,14.6
ceb,az,12.3
cs,az,15.7
cy,az,9.5
da,az,15.3
de,az,16.1
el,az,13.5
en,az,16.1
es,az,13.6
et,az,15.2
fa,az,14.3
ff,az,1.9
fi,az,14.6
fr,az,15.6
ga,az,7.5
gl,az,14.7
gu,az,9.0
ha,az,7.2
he,az,14.4
hi,az,13.8
hr,az,15.3
hu,az,15.3
hy,az,11.2
id,az,9.9
ig,az,6.5
is,az,12.1
it,az,14.6
ja,az,12.4
jv,az,9.7
ka,az,11.5
kk,az,11.1
km,az,8.4
kn,az,9.7
ko,az,12.5
lb,az,10.7
lg,az,1.9
ln,az,3.6
lo,az,8.1
lt,az,15.0
lv,az,15.5
mk,az,15.4
ml,az,12.1
mn,az,9.4
mr,az,12.2
ms,az,13.6
my,az,7.9
ne,az,13.4
nl,az,13.6
no,az,14.3
ns,az,4.9
oc,az,15.0
or,az,5.8
pa,az,8.9
pl,az,14.1
ps,az,9.7
pt,az,15.7
ro,az,15.9
ru,az,15.6
sd,az,2.7
sk,az,15.8
sl,az,15.2
so,az,6.7
sr,az,15.7
sv,az,15.0
sw,az,12.5
ta,az,10.7
th,az,12.0
tl,az,12.9
tr,az,18.0
uk,az,15.6
ur,az,12.5
uz,az,10.4
vi,az,13.7
wo,az,3.1
xh,az,7.6
yo,az,3.5
zh,az,13.8
zu,az,8.4
