src,trg,spm-sacre
af,ceb,25.3
am,ceb,12.6
ar,ceb,11.8
ast,ceb,12.5
az,ceb,12.7
be,ceb,13.7
bg,ceb,11.4
bn,ceb,17.2
bs,ceb,18.4
ca,ceb,9.4
cs,ceb,14.5
cy,ceb,18.9
da,ceb,18.3
de,ceb,19.8
el,ceb,15.8
en,ceb,20.2
es,ceb,13.3
et,ceb,19.9
fa,ceb,18.6
ff,ceb,4.5
fi,ceb,16.1
fr,ceb,17.4
ga,ceb,12.0
gl,ceb,10.7
gu,ceb,12.3
ha,ceb,12.3
he,ceb,19.9
hi,ceb,19.4
hr,ceb,20.4
hu,ceb,11.9
hy,ceb,13.9
id,ceb,19.3
ig,ceb,12.3
is,ceb,18.7
it,ceb,14.1
ja,ceb,17.4
jv,ceb,17.4
ka,ceb,12.0
kk,ceb,12.4
km,ceb,12.3
kn,ceb,12.5
ko,ceb,16.8
lb,ceb,15.1
lg,ceb,4.9
ln,ceb,6.2
lo,ceb,12.9
lt,ceb,18.3
lv,ceb,16.0
mk,ceb,20.7
ml,ceb,18.6
mn,ceb,12.2
mr,ceb,17.2
ms,ceb,20.2
my,ceb,10.1
ne,ceb,19.1
nl,ceb,15.4
no,ceb,17.9
ns,ceb,9.9
oc,ceb,21.2
or,ceb,7.5
pa,ceb,13.4
pl,ceb,13.4
ps,ceb,14.9
pt,ceb,17.5
ro,ceb,13.7
ru,ceb,13.3
sd,ceb,3.2
sk,ceb,21.0
sl,ceb,20.3
so,ceb,12.4
sr,ceb,21.0
sv,ceb,15.3
sw,ceb,21.7
ta,ceb,12.5
th,ceb,16.8
tl,ceb,26.2
tr,ceb,20.8
uk,ceb,11.5
ur,ceb,17.3
uz,ceb,7.5
vi,ceb,20.8
wo,ceb,6.1
xh,ceb,15.0
yo,ceb,6.7
zh,ceb,13.8
zu,ceb,15.5
