src,trg,spm-sacre
de,af,29.0
de,am,0.3
de,ar,23.1
de,ast,13.9
de,az,4.6
de,be,4.7
de,bg,36.3
de,bn,20.2
de,bs,27.6
de,ca,29.8
de,ceb,14.4
de,cs,32.2
de,cy,2.7
de,da,38.5
de,el,28.2
de,en,45.5
de,es,27.8
de,et,27.8
de,fa,22.4
de,ff,0.2
de,fi,25.7
de,fr,41.7
de,ga,0.2
de,gl,24.0
de,gu,0.1
de,ha,3.3
de,he,26.0
de,hi,24.9
de,hr,27.9
de,hu,28.0
de,hy,1.1
de,id,32.5
de,ig,6.2
de,is,16.8
de,it,30.5
de,ja,5.0
de,jv,6.4
de,ka,0.2
de,kk,2.3
de,km,0.4
de,kn,0.5
de,ko,2.8
de,lb,0.1
de,lg,0.1
de,ln,0.5
de,lo,0.7
de,lt,28.1
de,lv,11.9
de,mk,31.9
de,ml,5.4
de,mn,1.0
de,mr,6.2
de,ms,27.8
de,my,0.1
de,ne,4.5
de,nl,30.0
de,no,29.6
de,ns,0.9
de,oc,12.4
de,or,0.0
de,pa,0.2
de,pl,23.8
de,ps,2.9
de,pt,39.1
de,ro,35.0
de,ru,29.2
de,sd,0.4
de,sk,33.4
de,sl,29.8
de,so,2.6
de,sr,30.8
de,sv,37.0
de,sw,19.5
de,ta,2.0
de,th,8.4
de,tl,17.5
de,tr,27.4
de,uk,27.7
de,ur,0.2
de,uz,2.1
de,vi,32.6
de,wo,0.6
de,xh,3.9
de,yo,0.6
de,zh,19.3
de,zu,4.8
