src,trg,spm-sacre
ne,af,7.7
ne,am,0.8
ne,ar,0.6
ne,ast,4.2
ne,az,4.7
ne,be,0.9
ne,bg,3.8
ne,bn,1.5
ne,bs,4.7
ne,ca,7.4
ne,ceb,12.2
ne,cs,3.7
ne,cy,1.2
ne,da,7.8
ne,de,3.8
ne,el,0.2
ne,en,13.5
ne,es,6.4
ne,et,3.1
ne,fa,3.2
ne,ff,0.3
ne,fi,2.3
ne,fr,7.9
ne,ga,2.2
ne,gl,4.8
ne,gu,0.2
ne,ha,3.7
ne,he,0.8
ne,hi,16.9
ne,hr,4.6
ne,hu,3.3
ne,hy,1.5
ne,id,7.8
ne,ig,6.3
ne,is,3.4
ne,it,5.4
ne,ja,2.4
ne,jv,3.1
ne,ka,1.4
ne,kk,1.0
ne,km,0.1
ne,kn,0.4
ne,ko,0.3
ne,lb,2.3
ne,lg,0.3
ne,ln,0.9
ne,lo,0.6
ne,lt,3.3
ne,lv,3.0
ne,mk,4.3
ne,ml,2.6
ne,mn,3.5
ne,mr,9.1
ne,ms,7.3
ne,my,1.2
ne,nl,4.7
ne,no,7.4
ne,ns,1.8
ne,oc,3.8
ne,or,0.2
ne,pa,5.2
ne,pl,3.1
ne,ps,7.8
ne,pt,7.9
ne,ro,6.6
ne,ru,0.9
ne,sd,0.4
ne,sk,2.8
ne,sl,5.7
ne,so,2.1
ne,sr,2.9
ne,sv,6.9
ne,sw,8.4
ne,ta,0.3
ne,th,0.6
ne,tl,10.9
ne,tr,3.3
ne,uk,2.3
ne,ur,6.9
ne,uz,0.9
ne,vi,9.6
ne,wo,2.2
ne,xh,1.9
ne,yo,1.7
ne,zh,0.4
ne,zu,3.3
