src,trg,spm-sacre
af,ar,27.5
am,ar,10.8
ast,ar,23.6
az,ar,9.2
be,ar,17.8
bg,ar,26.0
bn,ar,19.1
bs,ar,23.8
ca,ar,27.5
ceb,ar,12.8
cs,ar,26.2
cy,ar,13.3
da,ar,28.4
de,ar,27.0
el,ar,24.1
en,ar,35.8
es,ar,22.6
et,ar,24.6
fa,ar,23.6
ff,ar,2.6
fi,ar,23.4
fr,ar,28.0
ga,ar,5.3
gl,ar,25.1
gu,ar,6.7
ha,ar,8.1
he,ar,27.0
hi,ar,22.9
hr,ar,26.2
hu,ar,24.3
hy,ar,9.5
id,ar,25.5
ig,ar,9.3
is,ar,15.7
it,ar,23.8
ja,ar,19.4
jv,ar,14.8
ka,ar,14.6
kk,ar,10.2
km,ar,10.7
kn,ar,6.4
ko,ar,20.4
lb,ar,17.7
lg,ar,0.9
ln,ar,6.0
lo,ar,11.4
lt,ar,23.3
lv,ar,9.0
mk,ar,22.4
ml,ar,14.5
mn,ar,10.6
mr,ar,14.3
ms,ar,23.5
my,ar,6.9
ne,ar,1.6
nl,ar,22.4
no,ar,25.5
ns,ar,6.4
oc,ar,24.6
or,ar,1.6
pa,ar,5.0
pl,ar,22.1
ps,ar,11.9
pt,ar,29.0
ro,ar,28.1
ru,ar,24.8
sd,ar,1.3
sk,ar,25.9
sl,ar,24.5
so,ar,5.6
sr,ar,28.2
sv,ar,27.1
sw,ar,15.6
ta,ar,3.1
th,ar,18.5
tl,ar,16.5
tr,ar,24.7
uk,ar,25.7
ur,ar,16.6
uz,ar,1.1
vi,ar,22.7
wo,ar,4.3
xh,ar,9.1
yo,ar,5.5
zh,ar,21.3
zu,ar,10.8
