src,trg,spm-sacre
ar,af,21.2
ar,am,1.7
ar,ast,17.5
ar,az,3.6
ar,be,2.1
ar,bg,25.6
ar,bn,17.0
ar,bs,19.1
ar,ca,26.4
ar,ceb,3.7
ar,cs,21.2
ar,cy,7.8
ar,da,24.4
ar,de,20.9
ar,el,21.1
ar,en,29.4
ar,es,18.4
ar,et,19.6
ar,fa,16.3
ar,ff,0.01
ar,fi,17.5
ar,fr,27.5
ar,ga,0.4
ar,gl,22.6
ar,gu,0.2
ar,ha,3.4
ar,he,19.3
ar,hi,20.3
ar,hr,19.5
ar,hu,19.4
ar,hy,4.6
ar,id,23.0
ar,ig,4.9
ar,is,13.7
ar,it,19.6
ar,ja,17.7
ar,jv,10.0
ar,ka,5.4
ar,kk,0.8
ar,km,3.3
ar,kn,0.1
ar,ko,13.7
ar,lb,12.6
ar,lg,0.2
ar,ln,0.1
ar,lo,4.5
ar,lt,20.8
ar,lv,21.9
ar,mk,23.4
ar,ml,3.8
ar,mn,3.1
ar,mr,5.0
ar,ms,20.5
ar,my,0.7
ar,ne,0.3
ar,nl,18.3
ar,no,18.6
ar,ns,0.6
ar,oc,16.4
ar,or,0.1
ar,pa,2.0
ar,pl,16.2
ar,ps,6.6
ar,pt,26.6
ar,ro,24.6
ar,ru,19.5
ar,sd,5.9
ar,sk,22.4
ar,sl,20.6
ar,so,0.5
ar,sr,21.2
ar,sv,23.3
ar,sw,16.8
ar,ta,1.3
ar,th,12.2
ar,tl,5.2
ar,tr,17.9
ar,uk,19.3
ar,ur,11.8
ar,uz,0.2
ar,vi,26.2
ar,wo,0.2
ar,xh,4.8
ar,yo,0.7
ar,zh,14.2
ar,zu,5.6
