src,trg,spm-sacre
az,af,7.3
az,am,1.1
az,ar,0.9
az,ast,5.0
az,be,4.6
az,bg,12.6
az,bn,7.8
az,bs,9.1
az,ca,14.1
az,ceb,1.5
az,cs,8.7
az,cy,4.3
az,da,9.6
az,de,9.0
az,el,12.1
az,en,9.5
az,es,10.0
az,et,11.6
az,fa,5.3
az,ff,0.1
az,fi,9.7
az,fr,13.2
az,ga,0.4
az,gl,10.7
az,gu,0.4
az,ha,1.9
az,he,8.6
az,hi,9.5
az,hr,9.0
az,hu,11.3
az,hy,2.5
az,id,6.8
az,ig,2.7
az,is,7.3
az,it,11.2
az,ja,5.4
az,jv,2.7
az,ka,2.5
az,kk,1.0
az,km,1.4
az,kn,0.2
az,ko,5.2
az,lb,3.0
az,lg,0.3
az,ln,0.3
az,lo,2.1
az,lt,12.4
az,lv,12.9
az,mk,12.7
az,ml,2.2
az,mn,2.8
az,mr,4.0
az,ms,6.5
az,my,0.2
az,ne,1.1
az,nl,8.3
az,no,9.0
az,ns,0.6
az,oc,6.4
az,or,0.03
az,pa,2.1
az,pl,8.3
az,ps,4.5
az,pt,12.7
az,ro,11.7
az,ru,10.1
az,sd,1.4
az,sk,10.7
az,sl,10.6
az,so,0.3
az,sr,10.3
az,sv,9.7
az,sw,7.7
az,ta,1.7
az,th,7.4
az,tl,4.5
az,tr,10.4
az,uk,11.3
az,ur,4.8
az,uz,0.3
az,vi,15.1
az,wo,0.2
az,xh,2.9
az,yo,0.7
az,zh,6.0
az,zu,3.5
