src,trg,spm-sacre
de,af,29.2
de,am,2.8
de,ar,13.5
de,ast,27.3
de,az,7.1
de,be,6.5
de,bg,35.7
de,bn,21.1
de,bs,28.0
de,ca,36.8
de,ceb,8.8
de,cs,31.5
de,cy,10.5
de,da,37.6
de,el,28.0
de,en,42.9
de,es,26.1
de,et,29.1
de,fa,19.3
de,ff,0.2
de,fi,26.2
de,fr,39.6
de,ga,0.5
de,gl,32.7
de,gu,0.5
de,ha,5.8
de,he,25.1
de,hi,25.3
de,hr,28.9
de,hu,28.7
de,hy,5.7
de,id,31.4
de,ig,6.7
de,is,19.1
de,it,28.4
de,ja,24.6
de,jv,13.7
de,ka,6.8
de,kk,1.2
de,km,3.9
de,kn,0.4
de,ko,18.7
de,lb,21.1
de,lg,0.5
de,ln,0.5
de,lo,6.0
de,lt,28.9
de,lv,16.9
de,mk,32.6
de,ml,10.3
de,mn,4.4
de,mr,10.4
de,ms,27.1
de,my,1.0
de,ne,0.4
de,nl,28.8
de,no,29.0
de,ns,1.9
de,oc,22.1
de,or,0.1
de,pa,3.1
de,pl,24.0
de,ps,8.5
de,pt,37.7
de,ro,34.8
de,ru,28.5
de,sd,7.0
de,sk,32.5
de,sl,30.2
de,so,1.3
de,sr,31.1
de,sv,36.7
de,sw,22.6
de,ta,2.8
de,th,14.8
de,tl,14.8
de,tr,25.1
de,uk,27.7
de,ur,13.8
de,uz,0.5
de,vi,32.8
de,wo,0.5
de,xh,7.1
de,yo,1.8
de,zh,19.9
de,zu,7.3
