src,trg,spm-sacre
af,az,6.7
am,az,1.9
ar,az,3.6
ast,az,2.7
be,az,3.0
bg,az,6.1
bn,az,5.7
bs,az,7.1
ca,az,7.4
ceb,az,3.6
cs,az,6.8
cy,az,2.5
da,az,6.2
de,az,7.1
el,az,6.5
en,az,8.0
es,az,6.1
et,az,6.9
fa,az,5.4
ff,az,0.7
fi,az,6.6
fr,az,6.9
ga,az,0.1
gl,az,6.9
gu,az,0.2
ha,az,3.2
he,az,5.0
hi,az,6.1
hr,az,7.1
hu,az,7.0
hy,az,4.8
id,az,5.2
ig,az,3.3
is,az,4.7
it,az,6.4
ja,az,5.7
jv,az,5.0
ka,az,2.8
kk,az,1.8
km,az,1.8
kn,az,0.1
ko,az,5.8
lb,az,4.3
lg,az,0.9
ln,az,1.2
lo,az,2.2
lt,az,7.0
lv,az,7.1
mk,az,6.6
ml,az,4.9
mn,az,5.0
mr,az,4.7
ms,az,6.3
my,az,0.6
ne,az,2.4
nl,az,6.3
no,az,5.9
ns,az,1.0
oc,az,6.0
or,az,0.3
pa,az,2.3
pl,az,6.0
ps,az,5.0
pt,az,6.9
ro,az,7.6
ru,az,4.3
sd,az,0.6
sk,az,7.0
sl,az,6.2
so,az,0.4
sr,az,7.1
sv,az,7.4
sw,az,5.5
ta,az,2.0
th,az,6.0
tl,az,4.9
tr,az,7.7
uk,az,6.9
ur,az,3.9
uz,az,0.6
vi,az,6.6
wo,az,1.1
xh,az,4.2
yo,az,0.6
zh,az,5.7
zu,az,4.4
