src,trg,spm-sacre
ar,af,25.3
ar,am,8.4
ar,ast,15.8
ar,az,5.0
ar,be,1.2
ar,bg,31.9
ar,bn,21.9
ar,bs,22.2
ar,ca,31.3
ar,ceb,3.3
ar,cs,26.4
ar,cy,16.3
ar,da,29.5
ar,de,27.1
ar,el,26.1
ar,en,36.6
ar,es,22.8
ar,et,24.4
ar,fa,23.9
ar,ff,0.01
ar,fi,22.0
ar,fr,34.5
ar,ga,0.3
ar,gl,26.1
ar,gu,0.8
ar,ha,7.9
ar,he,25.3
ar,hi,26.2
ar,hr,23.3
ar,hu,23.9
ar,hy,7.1
ar,id,29.8
ar,ig,12.2
ar,is,20.0
ar,it,24.2
ar,ja,22.1
ar,jv,15.0
ar,ka,1.9
ar,kk,2.6
ar,km,12.1
ar,kn,0.7
ar,ko,17.8
ar,lb,16.0
ar,lg,0.4
ar,ln,0.5
ar,lo,8.6
ar,lt,25.1
ar,lv,27.0
ar,mk,28.1
ar,ml,8.4
ar,mn,10.1
ar,mr,5.8
ar,ms,25.9
ar,my,2.7
ar,ne,0.2
ar,nl,23.1
ar,no,22.3
ar,ns,1.6
ar,oc,21.5
ar,or,0.4
ar,pa,9.1
ar,pl,19.6
ar,ps,11.4
ar,pt,33.2
ar,ro,29.5
ar,ru,24.9
ar,sd,10.5
ar,sk,27.3
ar,sl,24.6
ar,so,2.5
ar,sr,21.5
ar,sv,29.1
ar,sw,21.3
ar,ta,1.1
ar,th,18.8
ar,tl,7.4
ar,tr,23.0
ar,uk,22.9
ar,ur,12.6
ar,uz,1.1
ar,vi,30.7
ar,wo,0.6
ar,xh,10.7
ar,yo,1.3
ar,zh,18.4
ar,zu,11.2
