src,trg,spm-sacre
az,af,7.5
az,am,3.7
az,ar,1.7
az,ast,2.6
az,be,2.2
az,bg,11.6
az,bn,7.7
az,bs,6.1
az,ca,12.9
az,ceb,1.4
az,cs,8.1
az,cy,6.6
az,da,7.6
az,de,9.9
az,el,8.3
az,en,9.3
az,es,9.8
az,et,11.8
az,fa,7.3
az,ff,0.1
az,fi,10.2
az,fr,13.1
az,ga,0.3
az,gl,8.4
az,gu,2.6
az,ha,3.9
az,he,4.6
az,hi,10.1
az,hr,7.5
az,hu,10.2
az,hy,2.1
az,id,5.9
az,ig,7.5
az,is,6.9
az,it,10.6
az,ja,5.3
az,jv,3.1
az,ka,1.8
az,kk,1.9
az,km,4.4
az,kn,1.0
az,ko,5.7
az,lb,3.5
az,lg,0.6
az,ln,0.5
az,lo,2.8
az,lt,12.4
az,lv,13.6
az,mk,10.5
az,ml,4.4
az,mn,6.5
az,mr,4.1
az,ms,5.1
az,my,0.5
az,ne,1.1
az,nl,8.0
az,no,6.4
az,ns,1.5
az,oc,5.3
az,or,0.3
az,pa,6.5
az,pl,8.4
az,ps,6.9
az,pt,12.5
az,ro,10.9
az,ru,9.5
az,sd,3.5
az,sk,11.3
az,sl,10.1
az,so,1.1
az,sr,7.6
az,sv,9.6
az,sw,8.0
az,ta,2.2
az,th,10.9
az,tl,3.3
az,tr,11.5
az,uk,11.5
az,ur,4.9
az,uz,0.9
az,vi,16.4
az,wo,0.6
az,xh,5.7
az,yo,0.6
az,zh,5.5
az,zu,6.1
