src,trg,spm-sacre
en,af,43.4
en,am,13.1
en,ar,29.9
en,ast,31.6
en,az,10.4
en,be,12.9
en,bg,46.1
en,bn,28.7
en,bs,33.3
en,ca,46.9
en,ceb,20.4
en,cs,38.1
en,cy,25.6
en,da,47.6
en,de,42.1
en,el,33.6
en,es,30.2
en,et,34.8
en,fa,30.0
en,ff,0.1
en,fi,31.6
en,fr,51.3
en,ga,0.3
en,gl,39.4
en,gu,9.8
en,ha,12.1
en,he,35.3
en,hi,35.9
en,hr,33.4
en,hu,34.6
en,hy,10.4
en,id,45.4
en,ig,14.9
en,is,26.8
en,it,33.6
en,ja,29.2
en,jv,23.1
en,ka,3.4
en,kk,10.6
en,km,15.7
en,kn,4.6
en,ko,23.0
en,lb,28.1
en,lg,1.2
en,ln,0.9
en,lo,14.4
en,lt,33.9
en,lv,36.9
en,mk,40.5
en,ml,20.7
en,mn,11.9
en,mr,18.5
en,ms,39.7
en,my,6.9
en,ne,2.9
en,nl,32.3
en,no,37.2
en,ns,4.2
en,oc,37.8
en,or,0.5
en,pa,15.2
en,pl,26.6
en,ps,14.4
en,pt,51.7
en,ro,43.5
en,ru,35.3
en,sd,13.3
en,sk,39.4
en,sl,34.4
en,so,5.0
en,sr,35.1
en,sv,47.1
en,sw,35.1
en,ta,2.9
en,th,23.4
en,tl,26.6
en,tr,32.9
en,uk,33.8
en,ur,19.1
en,uz,2.0
en,vi,40.9
en,wo,0.8
en,xh,15.6
en,yo,3.3
en,zh,23.2
en,zu,15.0
