src,trg,spm-sacre
ne,af,14.6
ne,am,5.5
ne,ar,7.2
ne,ast,5.5
ne,az,3.6
ne,be,6.0
ne,bg,15.8
ne,bn,15.2
ne,bs,11.3
ne,ca,16.5
ne,ceb,7.2
ne,cs,12.4
ne,cy,10.5
ne,da,13.6
ne,de,14.2
ne,el,13.7
ne,en,19.0
ne,es,11.6
ne,et,12.7
ne,fa,9.0
ne,ff,0.1
ne,fi,11.8
ne,fr,16.4
ne,ga,0.3
ne,gl,14.0
ne,gu,7.3
ne,ha,5.2
ne,he,10.6
ne,hi,20.0
ne,hr,11.4
ne,hu,12.2
ne,hy,4.7
ne,id,13.8
ne,ig,7.7
ne,is,10.7
ne,it,13.0
ne,ja,11.6
ne,jv,9.2
ne,ka,3.8
ne,kk,3.8
ne,km,8.3
ne,kn,3.4
ne,ko,8.6
ne,lb,11.4
ne,lg,0.8
ne,ln,0.3
ne,lo,8.3
ne,lt,12.7
ne,lv,12.9
ne,mk,15.5
ne,ml,11.0
ne,mn,7.5
ne,mr,12.1
ne,ms,12.5
ne,my,2.4
ne,nl,11.7
ne,no,11.0
ne,ns,1.9
ne,oc,13.1
ne,or,0.5
ne,pa,11.8
ne,pl,10.8
ne,ps,8.3
ne,pt,16.6
ne,ro,15.3
ne,ru,11.8
ne,sd,7.8
ne,sk,13.5
ne,sl,12.5
ne,so,2.3
ne,sr,12.8
ne,sv,14.7
ne,sw,13.1
ne,ta,5.0
ne,th,11.6
ne,tl,11.9
ne,tr,9.0
ne,uk,12.1
ne,ur,10.1
ne,uz,1.0
ne,vi,16.2
ne,wo,0.5
ne,xh,7.1
ne,yo,1.5
ne,zh,8.3
ne,zu,7.9
