src,trg,spm-sacre
zh,af,20.3
zh,am,8.9
zh,ar,18.9
zh,ast,12.5
zh,az,8.1
zh,be,8.2
zh,bg,26.1
zh,bn,20.1
zh,bs,19.0
zh,ca,26.9
zh,ceb,6.5
zh,cs,22.2
zh,cy,13.1
zh,da,24.1
zh,de,22.0
zh,el,21.9
zh,en,26.9
zh,es,20.1
zh,et,21.6
zh,fa,19.6
zh,ff,0.02
zh,fi,20.4
zh,fr,29.1
zh,ga,0.3
zh,gl,23.3
zh,gu,5.7
zh,ha,7.1
zh,he,19.8
zh,hi,22.3
zh,hr,20.4
zh,hu,22.3
zh,hy,8.0
zh,id,24.8
zh,ig,11.3
zh,is,17.7
zh,it,21.6
zh,ja,23.0
zh,jv,13.3
zh,ka,4.8
zh,kk,6.6
zh,km,12.1
zh,kn,4.0
zh,ko,18.4
zh,lb,14.8
zh,lg,0.7
zh,ln,0.5
zh,lo,9.8
zh,lt,22.8
zh,lv,11.3
zh,mk,23.8
zh,ml,14.8
zh,mn,9.6
zh,mr,12.7
zh,ms,22.1
zh,my,3.9
zh,ne,1.6
zh,nl,20.4
zh,no,19.2
zh,ns,2.2
zh,oc,19.0
zh,or,0.5
zh,pa,10.1
zh,pl,18.4
zh,ps,9.9
zh,pt,26.8
zh,ro,24.7
zh,ru,21.4
zh,sd,9.9
zh,sk,22.4
zh,sl,21.5
zh,so,2.3
zh,sr,18.3
zh,sv,23.6
zh,sw,20.3
zh,ta,2.6
zh,th,18.4
zh,tl,14.3
zh,tr,20.0
zh,uk,19.6
zh,ur,13.0
zh,uz,1.2
zh,vi,29.1
zh,wo,0.7
zh,xh,8.8
zh,yo,1.7
zh,zu,9.9
