src,trg,spm-sacre
af,ar,23.8
am,ar,3.1
ast,ar,19.7
az,ar,1.7
be,ar,10.4
bg,ar,24.0
bn,ar,18.3
bs,ar,24.0
ca,ar,23.8
ceb,ar,10.9
cs,ar,22.6
cy,ar,8.0
da,ar,24.9
de,ar,24.3
el,ar,21.7
en,ar,29.9
es,ar,20.3
et,ar,21.8
fa,ar,22.3
ff,ar,1.2
fi,ar,20.4
fr,ar,24.7
ga,ar,0.2
gl,ar,22.9
gu,ar,0.03
ha,ar,9.2
he,ar,23.6
hi,ar,20.3
hr,ar,22.5
hu,ar,21.4
hy,ar,8.2
id,ar,22.8
ig,ar,8.6
is,ar,18.0
it,ar,21.8
ja,ar,17.3
jv,ar,12.4
ka,ar,5.9
kk,ar,3.5
km,ar,5.2
kn,ar,0.05
ko,ar,17.8
lb,ar,15.0
lg,ar,2.1
ln,ar,3.0
lo,ar,12.2
lt,ar,21.1
lv,ar,21.5
mk,ar,24.0
ml,ar,15.6
mn,ar,14.3
mr,ar,14.2
ms,ar,22.4
my,ar,2.5
ne,ar,7.2
nl,ar,19.5
no,ar,22.7
ns,ar,2.6
oc,ar,22.5
or,ar,0.2
pa,ar,13.9
pl,ar,20.0
ps,ar,13.7
pt,ar,25.2
ro,ar,24.6
ru,ar,21.7
sd,ar,0.8
sk,ar,22.8
sl,ar,21.7
so,ar,0.3
sr,ar,24.1
sv,ar,23.8
sw,ar,18.4
ta,ar,3.0
th,ar,18.4
tl,ar,16.1
tr,ar,21.8
uk,ar,22.9
ur,ar,11.5
uz,ar,1.1
vi,ar,21.5
wo,ar,3.2
xh,ar,13.3
yo,ar,1.1
zh,ar,18.9
zu,ar,13.0
