src,trg,spm-sacre
af,ceb,16.1
am,ceb,4.9
ar,ceb,3.3
ast,ceb,7.4
az,ceb,1.4
be,ceb,7.4
bg,ceb,10.6
bn,ceb,8.2
bs,ceb,16.6
ca,ceb,15.4
cs,ceb,9.7
cy,ceb,11.5
da,ceb,14.0
de,ceb,11.1
el,ceb,11.2
en,ceb,20.4
es,ceb,10.4
et,ceb,10.2
fa,ceb,6.5
ff,ceb,2.3
fi,ceb,8.0
fr,ceb,13.5
ga,ceb,0.6
gl,ceb,14.8
gu,ceb,0.6
ha,ceb,8.8
he,ceb,6.7
hi,ceb,8.0
hr,ceb,10.9
hu,ceb,10.2
hy,ceb,2.2
id,ceb,12.2
ig,ceb,8.8
is,ceb,10.1
it,ceb,12.6
ja,ceb,7.8
jv,ceb,14.8
ka,ceb,2.2
kk,ceb,5.1
km,ceb,6.9
kn,ceb,0.6
ko,ceb,6.9
lb,ceb,15.8
lg,ceb,3.5
ln,ceb,3.8
lo,ceb,5.3
lt,ceb,7.9
lv,ceb,8.8
mk,ceb,11.1
ml,ceb,8.9
mn,ceb,8.8
mr,ceb,9.3
ms,ceb,10.5
my,ceb,2.9
ne,ceb,7.2
nl,ceb,10.6
no,ceb,10.9
ns,ceb,5.4
oc,ceb,15.1
or,ceb,0.4
pa,ceb,3.5
pl,ceb,9.2
ps,ceb,12.2
pt,ceb,13.7
ro,ceb,14.2
ru,ceb,9.3
sd,ceb,1.5
sk,ceb,11.7
sl,ceb,11.1
so,ceb,3.0
sr,ceb,13.7
sv,ceb,14.5
sw,ceb,10.1
ta,ceb,2.8
th,ceb,13.0
tl,ceb,19.2
tr,ceb,6.6
uk,ceb,12.0
ur,ceb,5.1
uz,ceb,2.0
vi,ceb,9.6
wo,ceb,4.1
xh,ceb,12.4
yo,ceb,4.1
zh,ceb,6.5
zu,ceb,12.4
