src,trg,spm-sacre
af,en,55.2
am,en,16.9
ar,en,36.6
ast,en,38.3
az,en,9.3
be,en,16.5
bg,en,41.6
bn,en,30.7
bs,en,41.6
ca,en,46.6
ceb,en,27.7
cs,en,40.5
cy,en,29.5
da,en,49.3
de,en,44.6
el,en,36.6
es,en,31.1
et,en,38.2
fa,en,33.7
ff,en,3.9
fi,en,35.1
fr,en,45.5
ga,en,2.6
gl,en,41.5
gu,en,1.0
ha,en,17.7
he,en,40.2
hi,en,37.0
hr,en,38.2
hu,en,36.5
hy,en,22.1
id,en,42.6
ig,en,16.3
is,en,31.6
it,en,35.0
ja,en,26.0
jv,en,28.8
ka,en,14.9
kk,en,2.6
km,en,17.5
kn,en,0.8
ko,en,27.8
lb,en,37.2
lg,en,5.3
ln,en,6.6
lo,en,18.0
lt,en,34.5
lv,en,36.8
mk,en,42.0
ml,en,26.7
mn,en,21.0
mr,en,26.0
ms,en,42.7
my,en,8.0
ne,en,19.0
nl,en,33.6
no,en,44.9
ns,en,8.8
oc,en,47.5
or,en,0.5
pa,en,21.6
pl,en,31.4
ps,en,22.6
pt,en,49.7
ro,en,44.6
ru,en,35.7
sd,en,6.0
sk,en,40.3
sl,en,36.6
so,en,4.2
sr,en,41.9
sv,en,48.5
sw,en,37.4
ta,en,13.1
th,en,27.4
tl,en,34.1
tr,en,36.8
uk,en,38.4
ur,en,23.8
uz,en,2.2
vi,en,36.0
wo,en,6.6
xh,en,25.2
yo,en,4.1
zh,en,26.9
zu,en,24.8
