src,trg,spm-sacre
af,zh,18.9
am,zh,8.0
ar,zh,18.4
ast,zh,14.7
az,zh,5.5
be,zh,10.6
bg,zh,19.0
bn,zh,14.8
bs,zh,18.6
ca,zh,19.0
ceb,zh,11.5
cs,zh,19.4
cy,zh,10.2
da,zh,19.7
de,zh,20.2
el,zh,18.1
en,zh,23.2
es,zh,16.7
et,zh,19.3
fa,zh,17.5
ff,zh,2.4
fi,zh,18.3
fr,zh,19.6
ga,zh,0.5
gl,zh,18.4
gu,zh,0.6
ha,zh,8.3
he,zh,17.7
hi,zh,16.7
hr,zh,19.4
hu,zh,19.3
hy,zh,9.8
id,zh,19.9
ig,zh,8.4
is,zh,15.3
it,zh,18.0
ja,zh,17.4
jv,zh,12.6
ka,zh,7.5
kk,zh,8.3
km,zh,10.4
kn,zh,0.6
ko,zh,17.1
lb,zh,15.3
lg,zh,3.9
ln,zh,5.1
lo,zh,8.9
lt,zh,17.7
lv,zh,10.9
mk,zh,19.6
ml,zh,12.7
mn,zh,12.0
mr,zh,12.6
ms,zh,17.9
my,zh,6.0
ne,zh,8.3
nl,zh,17.3
no,zh,18.8
ns,zh,5.0
oc,zh,17.6
or,zh,0.2
pa,zh,9.0
pl,zh,17.5
ps,zh,11.2
pt,zh,19.9
ro,zh,20.4
ru,zh,18.6
sd,zh,1.6
sk,zh,18.7
sl,zh,18.2
so,zh,2.1
sr,zh,19.5
sv,zh,20.3
sw,zh,15.7
ta,zh,5.3
th,zh,16.6
tl,zh,14.3
tr,zh,18.3
uk,zh,18.4
ur,zh,11.0
uz,zh,2.6
vi,zh,19.1
wo,zh,5.0
xh,zh,10.8
yo,zh,3.4
zu,zh,10.8
