src,trg,spm-sacre
de,af,20.3
de,am,0.7
de,ar,20.3
de,ast,20.3
de,az,3.8
de,be,3.5
de,bg,29.8
de,bn,13.7
de,bs,23.1
de,ca,30.9
de,ceb,7.0
de,cs,26.1
de,cy,2.3
de,da,31.1
de,el,22.2
de,en,36.4
de,es,21.9
de,et,23.2
de,fa,22.8
de,ff,0.3
de,fi,19.7
de,fr,32.8
de,ga,0.1
de,gl,27.8
de,gu,0.2
de,ha,2.0
de,he,21.5
de,hi,24.2
de,hr,23.0
de,hu,23.3
de,hy,4.7
de,id,26.2
de,ig,2.5
de,is,11.7
de,it,24.1
de,ja,20.7
de,jv,8.2
de,ka,0.5
de,kk,1.5
de,km,0.9
de,kn,0.2
de,ko,16.2
de,lb,14.2
de,lg,0.7
de,ln,1.1
de,lo,1.8
de,lt,22.9
de,lv,13.3
de,mk,26.1
de,ml,4.4
de,mn,1.8
de,mr,7.1
de,ms,26.3
de,my,0.3
de,ne,0.6
de,nl,24.3
de,no,24.6
de,ns,1.0
de,oc,17.3
de,or,0.1
de,pa,1.7
de,pl,19.8
de,ps,4.8
de,pt,31.5
de,ro,28.6
de,ru,23.0
de,sd,3.8
de,sk,27.2
de,sl,24.2
de,so,0.4
de,sr,25.9
de,sv,31.3
de,sw,15.5
de,ta,2.7
de,th,11.0
de,tl,9.1
de,tr,23.4
de,uk,22.6
de,ur,14.2
de,uz,0.7
de,vi,27.4
de,wo,0.6
de,xh,2.8
de,yo,0.9
de,zh,16.5
de,zu,3.0
