src,trg,spm-sacre
en,af,28.5
en,am,0.8
en,ar,25.8
en,ast,24.9
en,az,3.8
en,be,4.8
en,bg,36.6
en,bn,16.1
en,bs,27.7
en,ca,39.9
en,ceb,10.5
en,cs,30.4
en,cy,3.2
en,da,38.3
en,de,30.9
en,el,26.5
en,es,25.2
en,et,26.2
en,fa,27.8
en,ff,0.6
en,fi,22.1
en,fr,42.1
en,ga,0.1
en,gl,33.7
en,gu,0.3
en,ha,3.1
en,he,27.3
en,hi,31.3
en,hr,27.1
en,hu,26.1
en,hy,6.2
en,id,36.7
en,ig,3.6
en,is,13.3
en,it,27.7
en,ja,23.4
en,jv,12.0
en,ka,0.6
en,kk,1.4
en,km,1.1
en,kn,0.3
en,ko,19.3
en,lb,13.6
en,lg,1.0
en,ln,1.6
en,lo,2.5
en,lt,26.2
en,lv,27.1
en,mk,31.2
en,ml,6.1
en,mn,2.6
en,mr,8.9
en,ms,36.8
en,my,0.4
en,ne,1.0
en,nl,25.6
en,no,31.3
en,ns,1.1
en,oc,23.1
en,or,0.1
en,pa,2.2
en,pl,21.5
en,ps,6.2
en,pt,43.5
en,ro,35.4
en,ru,26.3
en,sd,5.4
en,sk,30.7
en,sl,26.9
en,so,0.9
en,sr,31.5
en,sv,39.2
en,sw,20.8
en,ta,4.0
en,th,12.8
en,tl,11.9
en,tr,28.4
en,uk,27.5
en,ur,17.6
en,uz,1.0
en,vi,33.6
en,wo,0.9
en,xh,3.7
en,yo,1.6
en,zh,19.2
en,zu,4.0
