src,trg,spm-sacre
ne,af,5.4
ne,am,0.5
ne,ar,3.4
ne,ast,4.7
ne,az,1.2
ne,be,2.3
ne,bg,8.1
ne,bn,6.5
ne,bs,5.5
ne,ca,7.8
ne,ceb,3.0
ne,cs,5.7
ne,cy,1.5
ne,da,5.8
ne,de,6.2
ne,el,7.5
ne,en,9.2
ne,es,6.2
ne,et,6.6
ne,fa,4.2
ne,ff,0.2
ne,fi,5.5
ne,fr,8.2
ne,ga,0.03
ne,gl,7.3
ne,gu,0.4
ne,ha,0.8
ne,he,5.7
ne,hi,11.2
ne,hr,4.9
ne,hu,6.0
ne,hy,1.0
ne,id,6.1
ne,ig,1.3
ne,is,3.7
ne,it,7.2
ne,ja,6.9
ne,jv,2.7
ne,ka,0.5
ne,kk,1.1
ne,km,0.4
ne,kn,0.3
ne,ko,4.5
ne,lb,3.9
ne,lg,0.5
ne,ln,0.5
ne,lo,1.3
ne,lt,5.9
ne,lv,5.3
ne,mk,6.8
ne,ml,1.9
ne,mn,1.2
ne,mr,4.8
ne,ms,5.8
ne,my,0.3
ne,nl,6.0
ne,no,5.7
ne,ns,0.6
ne,oc,4.6
ne,or,0.2
ne,pa,1.8
ne,pl,5.4
ne,ps,2.2
ne,pt,8.0
ne,ro,6.9
ne,ru,5.2
ne,sd,1.4
ne,sk,5.6
ne,sl,5.1
ne,so,0.4
ne,sr,6.4
ne,sv,7.0
ne,sw,4.2
ne,ta,3.0
ne,th,4.2
ne,tl,3.7
ne,tr,4.7
ne,uk,4.9
ne,ur,6.1
ne,uz,0.3
ne,vi,8.0
ne,wo,0.3
ne,xh,1.4
ne,yo,0.6
ne,zh,5.5
ne,zu,1.5
