src,trg,spm-sacre
zh,af,12.1
zh,am,0.6
zh,ar,16.1
zh,ast,13.1
zh,az,3.3
zh,be,3.3
zh,bg,20.6
zh,bn,11.6
zh,bs,15.3
zh,ca,21.8
zh,ceb,4.7
zh,cs,17.3
zh,cy,1.6
zh,da,18.0
zh,de,15.6
zh,el,16.7
zh,en,21.2
zh,es,15.6
zh,et,15.9
zh,fa,18.4
zh,ff,0.2
zh,fi,14.2
zh,fr,22.7
zh,ga,0.01
zh,gl,19.1
zh,gu,0.3
zh,ha,1.3
zh,he,17.1
zh,hi,20.3
zh,hr,15.7
zh,hu,17.2
zh,hy,3.6
zh,id,19.5
zh,ig,2.0
zh,is,8.0
zh,it,16.7
zh,ja,19.7
zh,jv,6.1
zh,ka,0.6
zh,kk,1.5
zh,km,0.7
zh,kn,0.2
zh,ko,15.8
zh,lb,7.3
zh,lg,0.5
zh,ln,0.6
zh,lo,1.6
zh,lt,17.4
zh,lv,9.6
zh,mk,18.1
zh,ml,3.9
zh,mn,1.8
zh,mr,6.3
zh,ms,20.7
zh,my,0.3
zh,ne,1.6
zh,nl,15.4
zh,no,14.6
zh,ns,0.6
zh,oc,11.9
zh,or,0.1
zh,pa,1.5
zh,pl,14.1
zh,ps,3.8
zh,pt,20.9
zh,ro,19.3
zh,ru,15.6
zh,sd,3.2
zh,sk,17.2
zh,sl,16.3
zh,so,0.3
zh,sr,17.1
zh,sv,18.1
zh,sw,11.4
zh,ta,3.7
zh,th,9.7
zh,tl,5.4
zh,tr,17.6
zh,uk,16.0
zh,ur,12.1
zh,uz,0.6
zh,vi,23.9
zh,wo,0.4
zh,xh,2.0
zh,yo,0.8
zh,zu,2.3
