src,trg,spm-sacre
af,az,3.6
am,az,0.8
ar,az,1.9
ast,az,1.1
be,az,1.4
bg,az,3.5
bn,az,3.2
bs,az,4.3
ca,az,3.8
ceb,az,2.0
cs,az,3.9
cy,az,1.5
da,az,3.1
de,az,3.8
el,az,3.2
en,az,3.8
es,az,2.9
et,az,4.0
fa,az,2.7
ff,az,0.4
fi,az,3.7
fr,az,3.5
ga,az,0.3
gl,az,3.8
gu,az,0.1
ha,az,1.0
he,az,2.5
hi,az,3.4
hr,az,3.7
hu,az,3.9
hy,az,1.6
id,az,2.6
ig,az,1.2
is,az,2.7
it,az,3.7
ja,az,2.9
jv,az,2.7
ka,az,1.1
kk,az,1.1
km,az,1.2
kn,az,0.1
ko,az,3.1
lb,az,2.7
lg,az,0.6
ln,az,0.6
lo,az,1.1
lt,az,3.7
lv,az,3.8
mk,az,3.7
ml,az,2.2
mn,az,1.9
mr,az,2.6
ms,az,3.5
my,az,0.5
ne,az,1.2
nl,az,3.6
no,az,2.4
ns,az,0.7
oc,az,2.8
or,az,0.2
pa,az,1.2
pl,az,3.6
ps,az,2.6
pt,az,4.0
ro,az,3.9
ru,az,3.1
sd,az,0.4
sk,az,3.9
sl,az,3.8
so,az,0.5
sr,az,3.5
sv,az,4.0
sw,az,3.2
ta,az,1.0
th,az,3.1
tl,az,2.3
tr,az,4.5
uk,az,3.7
ur,az,2.1
uz,az,0.7
vi,az,3.7
wo,az,0.6
xh,az,1.8
yo,az,0.5
zh,az,3.3
zu,az,1.9
