src,trg,spm-sacre
af,de,23.8
am,de,4.2
ar,de,19.0
ast,de,17.6
az,de,6.9
be,de,9.6
bg,de,24.0
bn,de,15.1
bs,de,23.6
ca,de,24.7
ceb,de,9.3
cs,de,24.3
cy,de,7.3
da,de,27.6
el,de,20.2
en,de,30.9
es,de,19.0
et,de,22.1
fa,de,18.6
ff,de,1.7
fi,de,20.2
fr,de,25.4
ga,de,1.0
gl,de,24.0
gu,de,0.5
ha,de,4.6
he,de,21.5
hi,de,18.3
hr,de,23.0
hu,de,21.7
hy,de,10.7
id,de,21.1
ig,de,4.5
is,de,15.4
it,de,21.9
ja,de,14.3
jv,de,11.0
ka,de,6.2
kk,de,3.8
km,de,7.4
kn,de,0.3
ko,de,15.3
lb,de,24.4
lg,de,2.5
ln,de,2.5
lo,de,7.5
lt,de,20.0
lv,de,13.4
mk,de,23.4
ml,de,9.9
mn,de,7.0
mr,de,12.8
ms,de,20.7
my,de,2.9
ne,de,6.2
nl,de,21.1
no,de,23.7
ns,de,2.7
oc,de,21.9
or,de,0.4
pa,de,6.4
pl,de,19.7
ps,de,9.2
pt,de,25.3
ro,de,25.1
ru,de,21.2
sd,de,2.4
sk,de,24.8
sl,de,22.2
so,de,2.5
sr,de,23.8
sv,de,27.6
sw,de,15.1
ta,de,4.8
th,de,13.2
tl,de,11.2
tr,de,20.9
uk,de,21.2
ur,de,10.1
uz,de,1.4
vi,de,18.8
wo,de,2.3
xh,de,6.9
yo,de,2.2
zh,de,15.6
zu,de,7.0
