src,trg,spm-sacre
af,ne,1.1
am,ne,2.1
ar,ne,0.1
ast,ne,0.1
az,ne,1.0
be,ne,1.6
bg,ne,0.6
bn,ne,1.2
bs,ne,7.5
ca,ne,1.5
ceb,ne,2.5
cs,ne,0.7
cy,ne,2.1
da,ne,0.8
de,ne,0.6
el,ne,0.5
en,ne,1.0
es,ne,0.3
et,ne,0.9
fa,ne,0.2
ff,ne,0.7
fi,ne,0.6
fr,ne,0.3
ga,ne,0.3
gl,ne,0.4
gu,ne,0.1
ha,ne,1.5
he,ne,0.3
hi,ne,1.6
hr,ne,0.7
hu,ne,0.6
hy,ne,2.0
id,ne,0.2
ig,ne,1.6
is,ne,0.6
it,ne,1.0
ja,ne,1.4
jv,ne,2.0
ka,ne,1.3
kk,ne,1.8
km,ne,1.9
kn,ne,0.03
ko,ne,1.4
lb,ne,1.3
lg,ne,0.8
ln,ne,0.8
lo,ne,2.2
lt,ne,0.7
lv,ne,0.4
mk,ne,0.4
ml,ne,2.0
mn,ne,3.2
mr,ne,3.3
ms,ne,0.3
my,ne,1.0
nl,ne,1.1
no,ne,0.3
ns,ne,1.1
oc,ne,0.4
or,ne,0.2
pa,ne,4.2
pl,ne,0.6
ps,ne,5.0
pt,ne,0.4
ro,ne,2.1
ru,ne,1.4
sd,ne,0.5
sk,ne,1.0
sl,ne,0.6
so,ne,1.0
sr,ne,0.8
sv,ne,1.2
sw,ne,2.7
ta,ne,1.1
th,ne,5.7
tl,ne,2.1
tr,ne,0.2
uk,ne,1.0
ur,ne,1.5
uz,ne,0.8
vi,ne,0.6
wo,ne,0.8
xh,ne,2.8
yo,ne,0.8
zh,ne,1.6
zu,ne,2.8
