src,trg,spm-sacre
af,zh,14.0
am,zh,3.9
ar,zh,15.3
ast,zh,11.4
az,zh,4.2
be,zh,7.8
bg,zh,16.8
bn,zh,13.3
bs,zh,15.5
ca,zh,15.9
ceb,zh,7.3
cs,zh,17.0
cy,zh,5.6
da,zh,16.2
de,zh,16.5
el,zh,14.7
en,zh,19.2
es,zh,13.9
et,zh,15.9
fa,zh,15.6
ff,zh,1.7
fi,zh,14.8
fr,zh,16.5
ga,zh,0.5
gl,zh,15.7
gu,zh,0.1
ha,zh,4.5
he,zh,15.4
hi,zh,14.3
hr,zh,15.5
hu,zh,16.0
hy,zh,7.1
id,zh,16.5
ig,zh,4.5
is,zh,10.2
it,zh,14.6
ja,zh,14.8
jv,zh,8.2
ka,zh,3.5
kk,zh,2.9
km,zh,5.3
kn,zh,0.1
ko,zh,15.5
lb,zh,10.0
lg,zh,2.9
ln,zh,2.8
lo,zh,6.2
lt,zh,14.8
lv,zh,12.8
mk,zh,16.4
ml,zh,7.8
mn,zh,7.1
mr,zh,10.8
ms,zh,15.6
my,zh,1.7
ne,zh,5.5
nl,zh,14.0
no,zh,15.2
ns,zh,3.2
oc,zh,14.0
or,zh,0.2
pa,zh,5.4
pl,zh,14.7
ps,zh,7.0
pt,zh,16.9
ro,zh,17.0
ru,zh,15.5
sd,zh,1.1
sk,zh,16.2
sl,zh,15.0
so,zh,2.2
sr,zh,16.1
sv,zh,16.3
sw,zh,11.1
ta,zh,3.3
th,zh,11.3
tl,zh,8.3
tr,zh,16.0
uk,zh,15.0
ur,zh,7.7
uz,zh,1.6
vi,zh,16.4
wo,zh,2.6
xh,zh,5.7
yo,zh,2.1
zu,zh,5.7
