src,trg,spm-sacre
ar,af,23.5
ar,am,5.0
ar,ast,21.8
ar,az,11.1
ar,be,13.5
ar,bg,28.7
ar,bn,18.5
ar,bs,21.7
ar,ca,29.5
ar,ceb,7.6
ar,cs,24.3
ar,cy,10.1
ar,da,28.2
ar,de,25.0
ar,el,23.0
ar,en,33.6
ar,es,21.1
ar,et,22.1
ar,fa,18.9
ar,ff,0.1
ar,fi,19.3
ar,fr,31.9
ar,ga,7.1
ar,gl,26.1
ar,gu,3.2
ar,ha,4.6
ar,he,21.8
ar,hi,22.3
ar,hr,22.0
ar,hu,21.7
ar,hy,9.5
ar,id,26.1
ar,ig,8.0
ar,is,15.2
ar,it,22.3
ar,ja,18.9
ar,jv,10.5
ar,ka,9.3
ar,kk,3.7
ar,km,3.3
ar,kn,2.6
ar,ko,15.3
ar,lb,7.4
ar,lg,0.1
ar,ln,0.3
ar,lo,4.0
ar,lt,23.4
ar,lv,12.7
ar,mk,26.5
ar,ml,10.3
ar,mn,4.8
ar,mr,9.0
ar,ms,22.5
ar,my,1.6
ar,ne,0.2
ar,nl,20.5
ar,no,21.7
ar,ns,1.1
ar,oc,15.3
ar,or,0.2
ar,pa,3.6
ar,pl,17.8
ar,ps,7.1
ar,pt,31.0
ar,ro,28.2
ar,ru,22.5
ar,sd,6.0
ar,sk,24.9
ar,sl,23.2
ar,so,1.5
ar,sr,24.8
ar,sv,27.0
ar,sw,21.0
ar,ta,2.1
ar,th,13.1
ar,tl,11.2
ar,tr,20.5
ar,uk,22.6
ar,ur,13.6
ar,uz,0.3
ar,vi,28.2
ar,wo,0.4
ar,xh,0.4
ar,yo,1.2
ar,zh,17.0
ar,zu,2.3
