src,trg,spm-sacre
ceb,af,20.0
ceb,am,4.1
ceb,ar,14.7
ceb,ast,19.4
ceb,az,9.1
ceb,be,10.4
ceb,bg,21.8
ceb,bn,14.3
ceb,bs,17.1
ceb,ca,25.3
ceb,cs,18.0
ceb,cy,10.1
ceb,da,21.8
ceb,de,19.6
ceb,el,17.4
ceb,en,31.6
ceb,es,17.6
ceb,et,17.1
ceb,fa,13.5
ceb,ff,0.4
ceb,fi,14.7
ceb,fr,25.1
ceb,ga,6.1
ceb,gl,21.9
ceb,gu,3.2
ceb,ha,6.4
ceb,he,14.6
ceb,hi,16.9
ceb,hr,16.9
ceb,hu,17.0
ceb,hy,6.5
ceb,id,23.4
ceb,ig,6.6
ceb,is,12.7
ceb,it,18.5
ceb,ja,15.8
ceb,jv,12.6
ceb,ka,6.9
ceb,kk,5.3
ceb,km,2.8
ceb,kn,1.5
ceb,ko,11.6
ceb,lb,6.2
ceb,lg,0.6
ceb,ln,0.8
ceb,lo,3.4
ceb,lt,16.8
ceb,lv,16.6
ceb,mk,20.6
ceb,ml,7.7
ceb,mn,4.2
ceb,mr,9.2
ceb,ms,21.0
ceb,my,1.2
ceb,ne,12.0
ceb,nl,17.1
ceb,no,17.6
ceb,ns,2.0
ceb,oc,15.5
ceb,or,0.2
ceb,pa,4.1
ceb,pl,14.3
ceb,ps,6.2
ceb,pt,25.4
ceb,ro,21.2
ceb,ru,16.1
ceb,sd,4.2
ceb,sk,18.4
ceb,sl,17.5
ceb,so,1.8
ceb,sr,17.4
ceb,sv,21.0
ceb,sw,18.2
ceb,ta,4.3
ceb,th,9.6
ceb,tl,19.8
ceb,tr,16.9
ceb,uk,15.9
ceb,ur,10.9
ceb,uz,1.1
ceb,vi,23.0
ceb,wo,1.2
ceb,xh,0.4
ceb,yo,2.1
ceb,zh,12.7
ceb,zu,2.1
