src,trg,spm-sacre
ne,af,20.7
ne,am,6.2
ne,ar,16.0
ne,ast,19.2
ne,az,10.0
ne,be,11.0
ne,bg,23.5
ne,bn,20.8
ne,bs,17.6
ne,ca,24.7
ne,ceb,13.6
ne,cs,19.9
ne,cy,9.5
ne,da,23.2
ne,de,21.3
ne,el,18.5
ne,en,29.3
ne,es,16.8
ne,et,18.9
ne,fa,15.9
ne,ff,0.2
ne,fi,16.0
ne,fr,26.0
ne,ga,6.6
ne,gl,21.1
ne,gu,5.3
ne,ha,5.3
ne,he,16.4
ne,hi,24.8
ne,hr,17.7
ne,hu,18.6
ne,hy,9.0
ne,id,21.1
ne,ig,7.3
ne,is,12.5
ne,it,17.6
ne,ja,16.9
ne,jv,10.1
ne,ka,8.7
ne,kk,6.0
ne,km,3.9
ne,kn,3.6
ne,ko,12.7
ne,lb,7.4
ne,lg,0.3
ne,ln,0.6
ne,lo,4.1
ne,lt,19.2
ne,lv,20.0
ne,mk,22.2
ne,ml,13.0
ne,mn,5.4
ne,mr,12.4
ne,ms,21.0
ne,my,1.8
ne,nl,17.5
ne,no,17.9
ne,ns,1.2
ne,oc,15.0
ne,or,0.4
ne,pa,6.7
ne,pl,14.7
ne,ps,7.5
ne,pt,24.5
ne,ro,22.3
ne,ru,17.3
ne,sd,6.6
ne,sk,19.9
ne,sl,19.0
ne,so,1.8
ne,sr,20.4
ne,sv,21.8
ne,sw,18.5
ne,ta,9.1
ne,th,11.7
ne,tl,15.7
ne,tr,17.8
ne,uk,18.1
ne,ur,14.8
ne,uz,0.6
ne,vi,24.3
ne,wo,0.7
ne,xh,0.7
ne,yo,1.6
ne,zh,14.2
ne,zu,2.6
