src,trg,spm-sacre
zh,af,18.8
zh,am,4.7
zh,ar,17.9
zh,ast,18.7
zh,az,11.2
zh,be,12.7
zh,bg,24.9
zh,bn,18.2
zh,bs,18.5
zh,ca,25.6
zh,ceb,12.2
zh,cs,21.4
zh,cy,9.0
zh,da,24.0
zh,de,21.7
zh,el,19.8
zh,en,26.1
zh,es,19.2
zh,et,19.7
zh,fa,16.0
zh,ff,0.3
zh,fi,18.1
zh,fr,27.7
zh,ga,6.4
zh,gl,22.5
zh,gu,3.1
zh,ha,4.7
zh,he,17.3
zh,hi,20.2
zh,hr,19.9
zh,hu,20.6
zh,hy,8.1
zh,id,23.7
zh,ig,6.7
zh,is,13.4
zh,it,20.2
zh,ja,20.3
zh,jv,10.1
zh,ka,8.0
zh,kk,5.2
zh,km,3.1
zh,kn,2.6
zh,ko,16.4
zh,lb,2.6
zh,lg,0.2
zh,ln,0.5
zh,lo,3.3
zh,lt,21.8
zh,lv,13.5
zh,mk,23.2
zh,ml,11.1
zh,mn,5.1
zh,mr,9.6
zh,ms,20.7
zh,my,1.6
zh,ne,14.1
zh,nl,19.1
zh,no,18.7
zh,ns,1.2
zh,oc,13.5
zh,or,0.3
zh,pa,3.8
zh,pl,17.3
zh,ps,6.0
zh,pt,25.3
zh,ro,24.3
zh,ru,19.7
zh,sd,4.9
zh,sk,21.2
zh,sl,20.4
zh,so,1.7
zh,sr,19.8
zh,sv,23.1
zh,sw,17.6
zh,ta,4.8
zh,th,13.2
zh,tl,14.1
zh,tr,18.7
zh,uk,19.4
zh,ur,12.1
zh,uz,0.7
zh,vi,27.2
zh,wo,0.6
zh,xh,0.7
zh,yo,1.4
zh,zu,2.2
