src,trg,spm-sacre
af,ceb,18.3
am,ceb,9.0
ar,ceb,7.6
ast,ceb,9.9
az,ceb,10.8
be,ceb,10.3
bg,ceb,7.3
bn,ceb,12.1
bs,ceb,16.3
ca,ceb,8.9
cs,ceb,10.2
cy,ceb,13.6
da,ceb,12.2
de,ceb,11.8
el,ceb,12.9
en,ceb,14.2
es,ceb,4.7
et,ceb,14.7
fa,ceb,13.7
ff,ceb,3.0
fi,ceb,8.5
fr,ceb,7.7
ga,ceb,9.9
gl,ceb,13.3
gu,ceb,8.8
ha,ceb,7.5
he,ceb,11.8
hi,ceb,11.0
hr,ceb,14.2
hu,ceb,11.4
hy,ceb,10.8
id,ceb,13.9
ig,ceb,8.6
is,ceb,13.9
it,ceb,5.2
ja,ceb,9.2
jv,ceb,13.5
ka,ceb,10.1
kk,ceb,9.7
km,ceb,10.4
kn,ceb,6.6
ko,ceb,12.1
lb,ceb,14.7
lg,ceb,3.5
ln,ceb,3.7
lo,ceb,9.7
lt,ceb,10.8
lv,ceb,12.6
mk,ceb,15.3
ml,ceb,10.9
mn,ceb,9.0
mr,ceb,12.1
ms,ceb,15.8
my,ceb,7.4
ne,ceb,13.6
nl,ceb,8.5
no,ceb,12.6
ns,ceb,5.6
oc,ceb,16.3
or,ceb,1.7
pa,ceb,8.3
pl,ceb,6.9
ps,ceb,10.6
pt,ceb,8.0
ro,ceb,8.2
ru,ceb,6.1
sd,ceb,3.6
sk,ceb,14.3
sl,ceb,13.7
so,ceb,5.7
sr,ceb,13.6
sv,ceb,9.7
sw,ceb,15.4
ta,ceb,7.5
th,ceb,12.3
tl,ceb,19.5
tr,ceb,15.3
uk,ceb,6.9
ur,ceb,11.7
uz,ceb,5.0
vi,ceb,11.9
wo,ceb,3.4
xh,ceb,11.3
yo,ceb,4.8
zh,ceb,12.2
zu,ceb,10.7
