src,trg,spm-sacre
af,de,32.8
am,de,12.2
ar,de,25.0
ast,de,26.6
az,de,16.8
be,de,17.5
bg,de,31.1
bn,de,20.1
bs,de,30.2
ca,de,32.6
ceb,de,19.6
cs,de,31.5
cy,de,17.5
da,de,35.4
el,de,27.0
en,de,40.1
es,de,24.7
et,de,29.7
fa,de,23.2
ff,de,3.7
fi,de,28.1
fr,de,32.1
ga,de,13.1
gl,de,31.3
gu,de,12.4
ha,de,4.7
he,de,28.0
hi,de,24.1
hr,de,30.2
hu,de,28.9
hy,de,18.3
id,de,28.0
ig,de,9.1
is,de,23.0
it,de,27.9
ja,de,20.1
jv,de,16.6
ka,de,15.7
kk,de,13.4
km,de,13.8
kn,de,8.9
ko,de,21.4
lb,de,32.3
lg,de,3.3
ln,de,5.4
lo,de,12.7
lt,de,27.7
lv,de,18.8
mk,de,30.1
ml,de,16.5
mn,de,12.1
mr,de,17.0
ms,de,26.7
my,de,8.8
ne,de,21.3
nl,de,26.5
no,de,30.7
ns,de,6.0
oc,de,31.2
or,de,1.8
pa,de,12.4
pl,de,25.9
ps,de,14.7
pt,de,33.0
ro,de,33.0
ru,de,28.0
sd,de,5.2
sk,de,31.7
sl,de,29.3
so,de,3.1
sr,de,32.4
sv,de,35.1
sw,de,22.7
ta,de,10.0
th,de,19.1
tl,de,21.7
tr,de,27.6
uk,de,29.5
ur,de,18.9
uz,de,7.1
vi,de,25.1
wo,de,4.5
xh,de,12.1
yo,de,2.8
zh,de,21.7
zu,de,12.6
