src,trg,spm-sacre
af,en,53.3
am,en,16.5
ar,en,33.6
ast,en,35.0
az,en,19.8
be,en,17.9
bg,en,39.2
bn,en,28.2
bs,en,41.1
ca,en,44.3
ceb,en,31.6
cs,en,38.8
cy,en,28.8
da,en,47.4
de,en,42.6
el,en,33.4
es,en,29.4
et,en,35.8
fa,en,29.5
ff,en,5.7
fi,en,32.7
fr,en,43.2
ga,en,18.2
gl,en,40.1
gu,en,18.9
ha,en,6.9
he,en,36.9
hi,en,34.0
hr,en,36.6
hu,en,34.8
hy,en,23.9
id,en,40.2
ig,en,13.4
is,en,29.7
it,en,32.8
ja,en,23.9
jv,en,25.3
ka,en,18.3
kk,en,17.3
km,en,19.6
kn,en,10.0
ko,en,25.8
lb,en,34.9
lg,en,4.4
ln,en,8.3
lo,en,17.7
lt,en,32.8
lv,en,33.5
mk,en,40.5
ml,en,23.1
mn,en,16.3
mr,en,23.9
ms,en,40.1
my,en,12.5
ne,en,29.3
nl,en,32.5
no,en,43.3
ns,en,10.4
oc,en,46.4
or,en,2.4
pa,en,14.8
pl,en,28.7
ps,en,19.6
pt,en,47.7
ro,en,42.4
ru,en,33.2
sd,en,5.7
sk,en,37.8
sl,en,35.0
so,en,1.7
sr,en,40.2
sv,en,47.0
sw,en,34.1
ta,en,12.7
th,en,24.1
tl,en,34.2
tr,en,35.0
uk,en,36.5
ur,en,24.7
uz,en,9.7
vi,en,33.9
wo,en,6.4
xh,en,13.8
yo,en,5.6
zh,en,26.1
zu,en,18.2
