src,trg,spm-sacre
de,af,20.4
de,am,0.7
de,ar,8.3
de,ast,17.2
de,az,4.8
de,be,3.5
de,bg,24.5
de,bn,13.5
de,bs,18.5
de,ca,27.0
de,ceb,5.2
de,cs,21.3
de,cy,6.7
de,da,28.4
de,el,16.7
de,en,28.4
de,es,18.8
de,et,18.9
de,fa,14.9
de,ff,0.4
de,fi,15.9
de,fr,28.1
de,ga,0.3
de,gl,23.9
de,gu,0.4
de,ha,2.9
de,he,12.3
de,hi,16.7
de,hr,18.9
de,hu,19.3
de,hy,1.9
de,id,22.1
de,ig,2.2
de,is,11.2
de,it,20.3
de,ja,15.5
de,jv,7.9
de,ka,2.6
de,kk,1.4
de,km,4.8
de,kn,0.7
de,ko,11.6
de,lb,10.8
de,lg,0.8
de,ln,1.1
de,lo,2.6
de,lt,18.7
de,lv,8.3
de,mk,22.8
de,ml,6.8
de,mn,3.3
de,mr,5.6
de,ms,18.8
de,my,1.4
de,ne,0.4
de,nl,21.1
de,no,22.2
de,ns,1.3
de,oc,13.0
de,or,0.1
de,pa,2.3
de,pl,15.9
de,ps,5.6
de,pt,27.8
de,ro,24.9
de,ru,17.9
de,sd,0.04
de,sk,21.8
de,sl,19.7
de,so,2.0
de,sr,20.0
de,sv,27.1
de,sw,13.6
de,ta,1.8
de,th,6.3
de,tl,9.3
de,tr,14.0
de,uk,17.5
de,ur,8.8
de,uz,1.2
de,vi,23.9
de,wo,0.7
de,xh,1.9
de,yo,0.9
de,zh,11.5
de,zu,1.6
