src,trg,spm-sacre
en,af,25.7
en,am,1.1
en,ar,8.6
en,ast,19.3
en,az,5.1
en,be,1.3
en,bg,26.9
en,bn,15.4
en,bs,19.3
en,ca,31.4
en,ceb,5.0
en,cs,21.2
en,cy,11.0
en,da,30.4
en,de,22.3
en,el,18.3
en,es,20.4
en,et,18.6
en,fa,17.0
en,ff,0.6
en,fi,15.4
en,fr,32.1
en,ga,0.4
en,gl,27.0
en,gu,0.4
en,ha,3.9
en,he,13.8
en,hi,19.2
en,hr,18.4
en,hu,18.9
en,hy,3.4
en,id,29.0
en,ig,3.4
en,is,11.5
en,it,20.9
en,ja,16.0
en,jv,9.2
en,ka,2.9
en,kk,0.2
en,km,6.4
en,kn,0.8
en,ko,12.3
en,lb,3.8
en,lg,1.6
en,ln,1.3
en,lo,4.3
en,lt,18.5
en,lv,18.6
en,mk,24.6
en,ml,6.8
en,mn,3.5
en,mr,6.6
en,ms,25.4
en,my,2.0
en,ne,0.1
en,nl,19.4
en,no,25.0
en,ns,2.9
en,oc,16.1
en,or,0.04
en,pa,2.8
en,pl,14.9
en,ps,6.0
en,pt,35.5
en,ro,28.3
en,ru,18.4
en,sd,0.05
en,sk,21.0
en,sl,19.0
en,so,2.9
en,sr,20.9
en,sv,29.4
en,sw,17.9
en,ta,2.5
en,th,6.0
en,tl,7.4
en,tr,15.6
en,uk,18.7
en,ur,10.1
en,uz,1.0
en,vi,28.0
en,wo,1.1
en,xh,3.4
en,yo,1.9
en,zh,12.5
en,zu,2.7
