src,trg,spm-sacre
zh,af,11.1
zh,am,0.7
zh,ar,6.5
zh,ast,10.3
zh,az,4.0
zh,be,2.7
zh,bg,16.8
zh,bn,12.0
zh,bs,11.2
zh,ca,17.0
zh,ceb,3.2
zh,cs,12.8
zh,cy,4.4
zh,da,14.7
zh,de,11.9
zh,el,12.0
zh,en,14.8
zh,es,12.2
zh,et,12.3
zh,fa,11.6
zh,ff,0.3
zh,fi,10.8
zh,fr,17.4
zh,ga,0.3
zh,gl,14.9
zh,gu,0.5
zh,ha,1.5
zh,he,9.0
zh,hi,13.5
zh,hr,11.3
zh,hu,13.3
zh,hy,1.5
zh,id,15.3
zh,ig,1.8
zh,is,7.4
zh,it,12.5
zh,ja,16.3
zh,jv,5.2
zh,ka,1.9
zh,kk,1.2
zh,km,3.9
zh,kn,0.7
zh,ko,11.8
zh,lb,4.8
zh,lg,0.5
zh,ln,0.6
zh,lo,2.1
zh,lt,13.6
zh,lv,6.7
zh,mk,15.4
zh,ml,6.2
zh,mn,3.3
zh,mr,5.1
zh,ms,12.8
zh,my,1.4
zh,ne,0.6
zh,nl,12.1
zh,no,11.6
zh,ns,0.8
zh,oc,8.0
zh,or,0.1
zh,pa,1.7
zh,pl,10.3
zh,ps,3.9
zh,pt,16.8
zh,ro,15.4
zh,ru,11.9
zh,sd,0.1
zh,sk,13.0
zh,sl,12.4
zh,so,1.2
zh,sr,12.9
zh,sv,13.7
zh,sw,9.5
zh,ta,2.4
zh,th,4.6
zh,tl,5.2
zh,tr,10.1
zh,uk,11.5
zh,ur,7.4
zh,uz,0.9
zh,vi,20.1
zh,wo,0.3
zh,xh,1.2
zh,yo,0.5
zh,zu,1.2
