src,trg,spm-sacre
af,az,4.6
am,az,0.9
ar,az,2.0
ast,az,2.6
be,az,1.5
bg,az,4.2
bn,az,3.2
bs,az,5.4
ca,az,4.9
ceb,az,2.8
cs,az,4.5
cy,az,2.7
da,az,4.9
de,az,4.8
el,az,3.6
en,az,5.1
es,az,3.9
et,az,4.9
fa,az,3.0
ff,az,0.3
fi,az,4.2
fr,az,4.3
ga,az,0.3
gl,az,4.9
gu,az,0.1
ha,az,1.0
he,az,3.1
hi,az,3.9
hr,az,4.7
hu,az,4.9
hy,az,1.8
id,az,3.0
ig,az,1.1
is,az,3.9
it,az,4.8
ja,az,3.7
jv,az,3.4
ka,az,1.9
kk,az,1.6
km,az,2.6
kn,az,0.8
ko,az,3.9
lb,az,3.0
lg,az,0.7
ln,az,0.5
lo,az,1.5
lt,az,4.5
lv,az,4.9
mk,az,4.5
ml,az,2.6
mn,az,3.5
mr,az,2.5
ms,az,3.9
my,az,1.8
ne,az,1.1
nl,az,4.4
no,az,4.6
ns,az,0.8
oc,az,3.8
or,az,0.3
pa,az,1.3
pl,az,3.9
ps,az,3.1
pt,az,4.8
ro,az,5.3
ru,az,3.0
sd,az,0.2
sk,az,4.8
sl,az,4.8
so,az,0.6
sr,az,4.5
sv,az,5.0
sw,az,3.7
ta,az,1.0
th,az,2.6
tl,az,3.2
tr,az,6.4
uk,az,4.2
ur,az,2.4
uz,az,0.9
vi,az,4.4
wo,az,0.5
xh,az,1.2
yo,az,0.5
zh,az,4.0
zu,az,1.1
