src,trg,spm-sacre
af,ceb,5.8
am,ceb,0.6
ar,ceb,1.5
ast,ceb,0.6
az,ceb,0.9
be,ceb,1.7
bg,ceb,3.5
bn,ceb,2.1
bs,ceb,5.6
ca,ceb,5.9
cs,ceb,4.6
cy,ceb,3.1
da,ceb,6.1
de,ceb,5.2
el,ceb,2.4
en,ceb,5.0
es,ceb,1.6
et,ceb,4.0
fa,ceb,2.4
ff,ceb,1.4
fi,ceb,3.2
fr,ceb,4.7
ga,ceb,2.3
gl,ceb,5.2
gu,ceb,0.1
ha,ceb,1.2
he,ceb,2.1
hi,ceb,2.4
hr,ceb,4.5
hu,ceb,4.2
hy,ceb,0.6
id,ceb,5.3
ig,ceb,1.1
is,ceb,4.4
it,ceb,5.5
ja,ceb,2.5
jv,ceb,6.0
ka,ceb,0.9
kk,ceb,1.6
km,ceb,2.5
kn,ceb,0.6
ko,ceb,2.6
lb,ceb,5.2
lg,ceb,2.3
ln,ceb,2.0
lo,ceb,1.8
lt,ceb,3.4
lv,ceb,1.8
mk,ceb,4.0
ml,ceb,1.4
mn,ceb,1.5
mr,ceb,2.1
ms,ceb,5.6
my,ceb,1.2
ne,ceb,1.6
nl,ceb,5.1
no,ceb,5.0
ns,ceb,3.5
oc,ceb,5.3
or,ceb,0.6
pa,ceb,0.5
pl,ceb,4.2
ps,ceb,2.4
pt,ceb,5.1
ro,ceb,5.7
ru,ceb,2.6
sd,ceb,0.5
sk,ceb,4.9
sl,ceb,4.4
so,ceb,1.2
sr,ceb,3.6
sv,ceb,5.7
sw,ceb,4.6
ta,ceb,0.6
th,ceb,2.4
tl,ceb,10.7
tr,ceb,4.1
uk,ceb,3.4
ur,ceb,1.4
uz,ceb,1.1
vi,ceb,5.2
wo,ceb,1.9
xh,ceb,1.8
yo,ceb,1.6
zh,ceb,3.2
zu,ceb,1.8
