src,trg,spm-sacre
af,en,37.5
am,en,3.2
ar,en,15.9
ast,en,21.4
az,en,5.1
be,en,7.4
bg,en,25.4
bn,en,15.1
bs,en,26.5
ca,en,30.7
ceb,en,15.2
cs,en,25.1
cy,en,20.0
da,en,33.2
de,en,28.4
el,en,20.6
es,en,19.2
et,en,22.0
fa,en,19.1
ff,en,2.0
fi,en,20.0
fr,en,30.0
ga,en,1.3
gl,en,26.9
gu,en,0.2
ha,en,5.0
he,en,20.3
hi,en,19.3
hr,en,23.9
hu,en,21.6
hy,en,9.5
id,en,27.3
ig,en,4.0
is,en,17.8
it,en,22.9
ja,en,12.8
jv,en,14.1
ka,en,7.2
kk,en,3.7
km,en,10.0
kn,en,2.9
ko,en,13.8
lb,en,17.2
lg,en,3.6
ln,en,2.7
lo,en,9.1
lt,en,20.2
lv,en,21.2
mk,en,26.5
ml,en,10.3
mn,en,8.7
mr,en,11.4
ms,en,26.7
my,en,6.5
ne,en,3.8
nl,en,22.7
no,en,30.5
ns,en,4.5
oc,en,26.4
or,en,0.9
pa,en,4.9
pl,en,19.3
ps,en,10.2
pt,en,33.9
ro,en,28.8
ru,en,20.7
sd,en,0.9
sk,en,24.7
sl,en,21.9
so,en,3.4
sr,en,25.5
sv,en,33.0
sw,en,21.8
ta,en,4.4
th,en,11.0
tl,en,17.9
tr,en,20.6
uk,en,17.7
ur,en,12.5
uz,en,1.4
vi,en,22.5
wo,en,2.8
xh,en,6.3
yo,en,2.8
zh,en,14.8
zu,en,5.1
