src,trg,spm-sacre
af,ne,0.4
am,ne,0.7
ar,ne,0.1
ast,ne,0.1
az,ne,0.2
be,ne,0.5
bg,ne,0.3
bn,ne,0.3
bs,ne,5.2
ca,ne,0.5
ceb,ne,1.6
cs,ne,0.5
cy,ne,1.4
da,ne,0.2
de,ne,0.4
el,ne,0.1
en,ne,0.1
es,ne,0.1
et,ne,0.2
fa,ne,0.1
ff,ne,0.2
fi,ne,0.1
fr,ne,0.1
ga,ne,0.2
gl,ne,0.1
gu,ne,0.05
ha,ne,0.7
he,ne,0.1
hi,ne,0.6
hr,ne,0.3
hu,ne,0.1
hy,ne,0.1
id,ne,0.2
ig,ne,0.6
is,ne,0.6
it,ne,0.5
ja,ne,0.3
jv,ne,1.1
ka,ne,0.3
kk,ne,0.6
km,ne,1.6
kn,ne,0.9
ko,ne,0.4
lb,ne,0.9
lg,ne,0.6
ln,ne,0.5
lo,ne,1.0
lt,ne,0.1
lv,ne,0.1
mk,ne,0.2
ml,ne,0.4
mn,ne,2.9
mr,ne,0.5
ms,ne,0.1
my,ne,1.0
nl,ne,0.2
no,ne,0.1
ns,ne,0.6
oc,ne,0.3
or,ne,0.2
pa,ne,2.5
pl,ne,0.2
ps,ne,3.8
pt,ne,0.2
ro,ne,0.3
ru,ne,0.4
sd,ne,0.2
sk,ne,0.5
sl,ne,0.5
so,ne,0.7
sr,ne,0.4
sv,ne,0.7
sw,ne,0.3
ta,ne,0.2
th,ne,1.5
tl,ne,0.2
tr,ne,0.1
uk,ne,0.4
ur,ne,0.2
uz,ne,0.3
vi,ne,0.1
wo,ne,0.2
xh,ne,0.9
yo,ne,0.4
zh,ne,0.6
zu,ne,0.8
