src,trg,spm-sacre
af,zh,10.9
am,zh,2.0
ar,zh,7.6
ast,zh,8.6
az,zh,2.1
be,zh,5.4
bg,zh,12.3
bn,zh,8.1
bs,zh,12.0
ca,zh,11.9
ceb,zh,5.0
cs,zh,12.2
cy,zh,5.2
da,zh,12.5
de,zh,11.5
el,zh,10.1
en,zh,12.5
es,zh,10.1
et,zh,11.2
fa,zh,10.0
ff,zh,0.4
fi,zh,10.8
fr,zh,12.3
ga,zh,0.2
gl,zh,11.4
gu,zh,0.0
ha,zh,2.0
he,zh,8.8
hi,zh,9.0
hr,zh,11.9
hu,zh,10.9
hy,zh,3.7
id,zh,12.0
ig,zh,2.2
is,zh,7.6
it,zh,10.5
ja,zh,11.7
jv,zh,6.0
ka,zh,3.0
kk,zh,1.7
km,zh,5.5
kn,zh,1.2
ko,zh,11.0
lb,zh,4.7
lg,zh,1.5
ln,zh,1.2
lo,zh,3.7
lt,zh,10.9
lv,zh,8.2
mk,zh,12.3
ml,zh,5.2
mn,zh,6.5
mr,zh,6.1
ms,zh,10.9
my,zh,3.4
ne,zh,1.8
nl,zh,10.3
no,zh,11.0
ns,zh,2.2
oc,zh,9.4
or,zh,0.2
pa,zh,1.7
pl,zh,10.4
ps,zh,5.6
pt,zh,12.5
ro,zh,12.5
ru,zh,11.7
sd,zh,0.3
sk,zh,11.7
sl,zh,11.1
so,zh,1.3
sr,zh,11.9
sv,zh,12.1
sw,zh,8.1
ta,zh,1.3
th,zh,6.7
tl,zh,6.4
tr,zh,10.2
uk,zh,11.9
ur,zh,6.0
uz,zh,0.5
vi,zh,11.9
wo,zh,0.4
xh,zh,2.6
yo,zh,1.0
zu,zh,2.6
