src,trg,spm-sacre
ar,af,18.9
ar,am,1.0
ar,ast,16.5
ar,az,2.8
ar,be,1.1
ar,bg,23.8
ar,bn,16.2
ar,bs,17.4
ar,ca,24.6
ar,ceb,2.9
ar,cs,19.5
ar,cy,8.8
ar,da,21.9
ar,de,18.7
ar,el,18.7
ar,en,25.5
ar,es,16.7
ar,et,18.3
ar,fa,17.8
ar,ff,0.2
ar,fi,15.6
ar,fr,25.7
ar,ga,0.4
ar,gl,21.3
ar,gu,0.2
ar,ha,1.2
ar,he,17.2
ar,hi,19.5
ar,hr,18.4
ar,hu,17.4
ar,hy,2.4
ar,id,21.3
ar,ig,1.0
ar,is,13.2
ar,it,17.8
ar,ja,16.0
ar,jv,8.8
ar,ka,1.3
ar,kk,0.5
ar,km,5.0
ar,kn,0.6
ar,ko,13.3
ar,lb,9.3
ar,lg,0.1
ar,ln,0.2
ar,lo,1.9
ar,lt,18.7
ar,lv,20.1
ar,mk,22.2
ar,ml,2.9
ar,mn,3.9
ar,mr,2.5
ar,ms,18.9
ar,my,1.8
ar,ne,0.3
ar,nl,17.4
ar,no,17.0
ar,ns,0.4
ar,oc,13.6
ar,or,0.1
ar,pa,2.7
ar,pl,14.6
ar,ps,6.5
ar,pt,25.1
ar,ro,23.4
ar,ru,17.7
ar,sd,0.1
ar,sk,19.9
ar,sl,18.8
ar,so,1.0
ar,sr,19.8
ar,sv,21.4
ar,sw,15.6
ar,ta,0.9
ar,th,7.5
ar,tl,3.8
ar,tr,15.5
ar,uk,17.7
ar,ur,9.7
ar,uz,0.5
ar,vi,24.3
ar,wo,0.2
ar,xh,1.3
ar,yo,0.4
ar,zh,13.1
ar,zu,1.5
