src,trg,spm-sacre
az,af,5.5
az,am,0.5
az,ar,0.9
az,ast,4.8
az,be,2.1
az,bg,8.8
az,bn,4.5
az,bs,7.8
az,ca,10.0
az,ceb,1.1
az,cs,6.9
az,cy,4.0
az,da,6.7
az,de,6.1
az,el,9.2
az,en,7.4
az,es,7.3
az,et,9.8
az,fa,4.9
az,ff,0.04
az,fi,8.1
az,fr,9.5
az,ga,0.4
az,gl,7.3
az,gu,0.2
az,ha,0.8
az,he,5.0
az,hi,6.9
az,hr,6.2
az,hu,8.2
az,hy,0.7
az,id,5.4
az,ig,0.8
az,is,5.2
az,it,8.1
az,ja,2.8
az,jv,1.8
az,ka,1.0
az,kk,0.9
az,km,2.1
az,kn,0.4
az,ko,3.2
az,lb,2.4
az,lg,0.03
az,ln,0.2
az,lo,0.9
az,lt,10.2
az,lv,10.3
az,mk,8.8
az,ml,1.5
az,mn,2.7
az,mr,1.9
az,ms,4.8
az,my,0.9
az,ne,0.8
az,nl,6.8
az,no,6.2
az,ns,0.3
az,oc,4.4
az,or,0.1
az,pa,2.0
az,pl,5.8
az,ps,3.8
az,pt,9.4
az,ro,8.7
az,ru,5.5
az,sd,0.04
az,sk,7.9
az,sl,7.6
az,so,0.5
az,sr,6.8
az,sv,7.2
az,sw,5.0
az,ta,1.0
az,th,1.7
az,tl,3.5
az,tr,7.0
az,uk,7.0
az,ur,3.5
az,uz,0.5
az,vi,13.3
az,wo,0.1
az,xh,0.9
az,yo,0.3
az,zh,3.6
az,zu,0.8
