src,trg,spm-sacre
ne,af,8.2
ne,am,1.0
ne,ar,2.7
ne,ast,6.1
ne,az,2.4
ne,be,3.5
ne,bg,9.7
ne,bn,9.1
ne,bs,6.9
ne,ca,9.8
ne,ceb,2.6
ne,cs,7.3
ne,cy,5.0
ne,da,7.4
ne,de,7.6
ne,el,8.6
ne,en,10.8
ne,es,8.0
ne,et,8.2
ne,fa,5.8
ne,ff,0.1
ne,fi,7.0
ne,fr,10.7
ne,ga,0.5
ne,gl,9.5
ne,gu,0.7
ne,ha,1.0
ne,he,5.5
ne,hi,13.9
ne,hr,6.0
ne,hu,6.5
ne,hy,1.4
ne,id,8.1
ne,ig,1.0
ne,is,6.1
ne,it,8.5
ne,ja,5.9
ne,jv,4.5
ne,ka,1.4
ne,kk,1.7
ne,km,2.8
ne,kn,1.4
ne,ko,5.0
ne,lb,5.3
ne,lg,0.3
ne,ln,0.3
ne,lo,1.6
ne,lt,8.0
ne,lv,8.0
ne,mk,9.9
ne,ml,3.7
ne,mn,2.5
ne,mr,7.4
ne,ms,7.4
ne,my,1.2
ne,nl,7.5
ne,no,7.3
ne,ns,0.6
ne,oc,6.2
ne,or,0.3
ne,pa,3.8
ne,pl,6.6
ne,ps,4.1
ne,pt,10.3
ne,ro,9.8
ne,ru,6.7
ne,sd,0.1
ne,sk,8.1
ne,sl,7.7
ne,so,0.9
ne,sr,8.3
ne,sv,8.4
ne,sw,6.8
ne,ta,2.2
ne,th,2.7
ne,tl,5.8
ne,tr,4.4
ne,uk,7.5
ne,ur,6.3
ne,uz,0.5
ne,vi,9.5
ne,wo,0.2
ne,xh,1.3
ne,yo,0.6
ne,zh,5.5
ne,zu,1.2
