src,trg,spm-sacre
af,ar,14.9
am,ar,2.0
ast,ar,9.0
az,ar,0.9
be,ar,5.4
bg,ar,14.4
bn,ar,10.7
bs,ar,15.1
ca,ar,15.0
ceb,ar,4.8
cs,ar,14.0
cy,ar,10.3
da,ar,15.2
de,ar,14.7
el,ar,13.0
en,ar,17.8
es,ar,12.1
et,ar,13.5
fa,ar,13.7
ff,ar,0.4
fi,ar,12.4
fr,ar,15.3
ga,ar,0.1
gl,ar,14.0
gu,ar,0.2
ha,ar,1.8
he,ar,14.5
hi,ar,12.1
hr,ar,14.3
hu,ar,13.2
hy,ar,6.2
id,ar,14.0
ig,ar,1.9
is,ar,11.1
it,ar,13.4
ja,ar,10.3
jv,ar,7.1
ka,ar,4.5
kk,ar,1.7
km,ar,6.7
kn,ar,1.1
ko,ar,10.6
lb,ar,7.2
lg,ar,0.7
ln,ar,0.8
lo,ar,3.8
lt,ar,12.7
lv,ar,11.6
mk,ar,15.0
ml,ar,7.5
mn,ar,7.8
mr,ar,7.3
ms,ar,13.7
my,ar,4.6
ne,ar,2.7
nl,ar,11.8
no,ar,14.0
ns,ar,1.3
oc,ar,10.6
or,ar,0.1
pa,ar,2.5
pl,ar,12.3
ps,ar,8.7
pt,ar,15.3
ro,ar,15.4
ru,ar,13.5
sd,ar,0.1
sk,ar,14.1
sl,ar,13.5
so,ar,0.7
sr,ar,15.3
sv,ar,15.1
sw,ar,12.0
ta,ar,1.2
th,ar,8.6
tl,ar,8.1
tr,ar,13.2
uk,ar,14.0
ur,ar,7.7
uz,ar,0.5
vi,ar,13.1
wo,ar,0.4
xh,ar,2.3
yo,ar,0.4
zh,ar,11.5
zu,ar,2.1
