src,trg,spm-sacre
af,de,28.7
am,de,4.5
ar,de,18.7
ast,de,20.8
az,de,6.1
be,de,11.0
bg,de,26.1
bn,de,15.9
bs,de,28.1
ca,de,27.8
ceb,de,11.7
cs,de,26.8
cy,de,17.5
da,de,31.3
el,de,22.0
en,de,32.6
es,de,21.1
et,de,25.6
fa,de,19.8
ff,de,1.6
fi,de,23.1
fr,de,28.5
ga,de,0.6
gl,de,26.6
gu,de,0.5
ha,de,4.4
he,de,22.5
hi,de,19.5
hr,de,26.1
hu,de,24.4
hy,de,11.0
id,de,23.1
ig,de,4.2
is,de,19.9
it,de,24.3
ja,de,16.2
jv,de,12.9
ka,de,8.0
kk,de,5.7
km,de,10.4
kn,de,2.9
ko,de,16.7
lb,de,28.1
lg,de,3.2
ln,de,3.1
lo,de,7.5
lt,de,22.9
lv,de,13.3
mk,de,26.3
ml,de,12.0
mn,de,10.6
mr,de,12.7
ms,de,22.8
my,de,6.9
ne,de,7.6
nl,de,23.0
no,de,26.7
ns,de,4.1
oc,de,24.8
or,de,0.5
pa,de,4.5
pl,de,22.1
ps,de,12.1
pt,de,28.4
ro,de,27.9
ru,de,23.6
sd,de,0.5
sk,de,26.8
sl,de,25.1
so,de,2.2
sr,de,27.5
sv,de,30.4
sw,de,19.4
ta,de,4.9
th,de,11.8
tl,de,15.9
tr,de,22.2
uk,de,25.0
ur,de,13.7
uz,de,1.1
vi,de,21.2
wo,de,2.8
xh,de,5.3
yo,de,2.5
zh,de,17.5
zu,de,5.0
