src,trg,spm-sacre
ar,af,28.7
ar,am,12.5
ar,ast,22.9
ar,az,14.7
ar,be,16.0
ar,bg,32.3
ar,bn,23.9
ar,bs,23.4
ar,ca,32.7
ar,ceb,11.8
ar,cs,27.8
ar,cy,18.8
ar,da,32.7
ar,de,30.9
ar,el,25.5
ar,en,41.0
ar,es,24.5
ar,et,25.8
ar,fa,25.3
ar,ff,0.0
ar,fi,22.4
ar,fr,36.7
ar,ga,6.3
ar,gl,28.3
ar,gu,9.6
ar,ha,11.7
ar,he,27.7
ar,hi,27.8
ar,hr,27.1
ar,hu,24.8
ar,hy,16.3
ar,id,30.6
ar,ig,13.4
ar,is,20.9
ar,it,25.7
ar,ja,21.1
ar,jv,13.5
ar,ka,13.6
ar,kk,10.0
ar,km,4.5
ar,kn,8.6
ar,ko,18.3
ar,lb,4.4
ar,lg,0.6
ar,ln,1.0
ar,lo,10.0
ar,lt,26.4
ar,lv,14.0
ar,mk,31.0
ar,ml,17.7
ar,mn,9.2
ar,mr,6.9
ar,ms,28.1
ar,my,1.0
ar,ne,0.1
ar,nl,24.4
ar,no,25.2
ar,ns,7.0
ar,oc,20.4
ar,or,1.7
ar,pa,9.5
ar,pl,21.0
ar,ps,8.8
ar,pt,35.6
ar,ro,32.1
ar,ru,25.7
ar,sd,8.5
ar,sk,28.8
ar,sl,26.9
ar,so,7.8
ar,sr,26.9
ar,sv,30.6
ar,sw,26.2
ar,ta,3.0
ar,th,16.7
ar,tl,7.8
ar,tr,25.6
ar,uk,25.6
ar,ur,16.8
ar,uz,0.2
ar,vi,31.1
ar,wo,2.9
ar,xh,7.9
ar,yo,2.1
ar,zh,21.4
ar,zu,11.8
