src,trg,spm-sacre
ceb,af,25.4
ceb,am,10.8
ceb,ar,20.7
ceb,ast,20.2
ceb,az,12.3
ceb,be,13.2
ceb,bg,25.8
ceb,bn,20.4
ceb,bs,20.0
ceb,ca,29.1
ceb,cs,21.9
ceb,cy,18.5
ceb,da,26.8
ceb,de,24.8
ceb,el,19.9
ceb,en,36.8
ceb,es,20.5
ceb,et,20.9
ceb,fa,18.7
ceb,ff,1.6
ceb,fi,17.8
ceb,fr,30.4
ceb,ga,9.8
ceb,gl,24.6
ceb,gu,9.5
ceb,ha,12.5
ceb,he,20.2
ceb,hi,22.6
ceb,hr,21.0
ceb,hu,19.7
ceb,hy,13.7
ceb,id,27.7
ceb,ig,13.9
ceb,is,18.1
ceb,it,22.1
ceb,ja,17.0
ceb,jv,15.5
ceb,ka,12.1
ceb,kk,12.3
ceb,km,6.7
ceb,kn,7.7
ceb,ko,15.2
ceb,lb,1.4
ceb,lg,1.3
ceb,ln,2.3
ceb,lo,9.1
ceb,lt,21.3
ceb,lv,20.9
ceb,mk,25.7
ceb,ml,17.9
ceb,mn,8.1
ceb,mr,15.0
ceb,ms,26.2
ceb,my,4.2
ceb,ne,16.9
ceb,nl,20.2
ceb,no,20.7
ceb,ns,8.8
ceb,oc,19.7
ceb,or,1.9
ceb,pa,8.9
ceb,pl,17.1
ceb,ps,7.3
ceb,pt,30.0
ceb,ro,25.1
ceb,ru,19.7
ceb,sd,6.9
ceb,sk,23.0
ceb,sl,21.7
ceb,so,9.0
ceb,sr,22.6
ceb,sv,24.7
ceb,sw,23.9
ceb,ta,15.9
ceb,th,13.6
ceb,tl,26.2
ceb,tr,21.7
ceb,uk,20.2
ceb,ur,15.8
ceb,uz,1.4
ceb,vi,27.0
ceb,wo,4.5
ceb,xh,11.1
ceb,yo,3.2
ceb,zh,14.3
ceb,zu,13.0
