src,trg,spm-sacre
de,af,33.0
de,am,14.2
de,ar,26.3
de,ast,25.2
de,az,16.1
de,be,15.1
de,bg,36.7
de,bn,25.6
de,bs,27.7
de,ca,37.7
de,ceb,19.8
de,cs,32.9
de,cy,20.6
de,da,39.2
de,el,27.0
de,en,45.8
de,es,27.6
de,et,30.2
de,fa,25.2
de,ff,0.0
de,fi,26.2
de,fr,41.8
de,ga,4.6
de,gl,32.8
de,gu,11.8
de,ha,12.7
de,he,28.1
de,hi,29.4
de,hr,31.0
de,hu,29.1
de,hy,16.9
de,id,33.7
de,ig,14.5
de,is,24.1
de,it,29.9
de,ja,22.6
de,jv,15.2
de,ka,14.1
de,kk,15.1
de,km,5.4
de,kn,10.1
de,ko,18.8
de,lb,1.9
de,lg,1.2
de,ln,1.7
de,lo,10.7
de,lt,29.3
de,lv,15.7
de,mk,34.0
de,ml,24.9
de,mn,9.6
de,mr,18.3
de,ms,31.7
de,my,5.9
de,ne,21.4
de,nl,30.2
de,no,29.9
de,ns,8.4
de,oc,23.4
de,or,2.6
de,pa,10.9
de,pl,25.1
de,ps,10.4
de,pt,39.7
de,ro,35.6
de,ru,29.5
de,sd,9.1
de,sk,33.3
de,sl,31.6
de,so,9.2
de,sr,30.0
de,sv,37.5
de,sw,27.2
de,ta,11.8
de,th,17.7
de,tl,26.0
de,tr,30.0
de,uk,29.0
de,ur,19.8
de,uz,0.9
de,vi,32.8
de,wo,3.1
de,xh,10.5
de,yo,2.4
de,zh,22.0
de,zu,12.8
