src,trg,spm-sacre
en,af,44.2
en,am,16.0
en,ar,33.9
en,ast,27.4
en,az,16.1
en,be,18.7
en,bg,44.5
en,bn,28.8
en,bs,35.0
en,ca,45.3
en,ceb,20.2
en,cs,37.3
en,cy,26.7
en,da,47.5
en,de,43.6
en,el,29.3
en,es,31.1
en,et,32.5
en,fa,28.5
en,ff,0.2
en,fi,27.8
en,fr,52.1
en,ga,0.6
en,gl,38.2
en,gu,10.6
en,ha,15.2
en,he,35.6
en,hi,36.4
en,hr,34.5
en,hu,31.6
en,hy,16.9
en,id,45.0
en,ig,14.8
en,is,25.1
en,it,33.2
en,ja,25.0
en,jv,19.8
en,ka,14.2
en,kk,17.4
en,km,8.9
en,kn,11.3
en,ko,21.1
en,lb,0.3
en,lg,1.5
en,ln,1.8
en,lo,10.8
en,lt,31.6
en,lv,32.9
en,mk,39.3
en,ml,29.0
en,mn,10.2
en,mr,19.2
en,ms,42.5
en,my,6.9
en,ne,23.4
en,nl,32.0
en,no,37.4
en,ns,11.6
en,oc,28.2
en,or,2.5
en,pa,10.8
en,pl,26.7
en,ps,8.8
en,pt,51.7
en,ro,43.1
en,ru,33.1
en,sd,8.7
en,sk,38.3
en,sl,34.1
en,so,10.3
en,sr,39.4
en,sv,46.4
en,sw,33.8
en,ta,10.6
en,th,19.4
en,tl,32.3
en,tr,35.6
en,uk,34.0
en,ur,23.4
en,uz,0.8
en,vi,39.2
en,wo,4.2
en,xh,14.1
en,yo,3.3
en,zh,25.5
en,zu,15.8
