src,trg,spm-sacre
af,de,36.6
am,de,15.5
ar,de,30.9
ast,de,27.6
az,de,19.4
be,de,19.4
bg,de,33.5
bn,de,23.3
bs,de,33.2
ca,de,35.1
ceb,de,24.8
cs,de,34.1
cy,de,22.0
da,de,37.9
el,de,26.3
en,de,43.6
es,de,27.2
et,de,32.3
fa,de,27.1
ff,de,4.3
fi,de,29.6
fr,de,35.0
ga,de,10.9
gl,de,34.0
gu,de,17.0
ha,de,10.6
he,de,31.6
hi,de,27.2
hr,de,32.7
hu,de,30.5
hy,de,22.2
id,de,30.5
ig,de,11.8
is,de,25.8
it,de,29.8
ja,de,21.3
jv,de,18.6
ka,de,18.2
kk,de,18.5
km,de,15.8
kn,de,16.5
ko,de,22.4
lb,de,28.9
lg,de,4.4
ln,de,7.0
lo,de,15.1
lt,de,29.2
lv,de,15.0
mk,de,32.9
ml,de,22.7
mn,de,14.6
mr,de,22.7
ms,de,29.6
my,de,11.7
ne,de,25.4
nl,de,28.3
no,de,32.6
ns,de,10.6
oc,de,34.5
or,de,9.7
pa,de,16.4
pl,de,28.2
ps,de,17.4
pt,de,35.7
ro,de,34.4
ru,de,30.1
sd,de,6.9
sk,de,34.3
sl,de,31.4
so,de,12.5
sr,de,35.2
sv,de,37.7
sw,de,25.7
ta,de,15.3
th,de,21.3
tl,de,27.8
tr,de,30.4
uk,de,32.2
ur,de,23.2
uz,de,13.8
vi,de,26.3
wo,de,6.2
xh,de,14.8
yo,de,5.3
zh,de,24.8
zu,de,15.8
