src,trg,spm-sacre
af,en,56.4
am,en,20.5
ar,en,41.0
ast,en,37.3
az,en,21.8
be,en,19.6
bg,en,41.8
bn,en,31.6
bs,en,43.4
ca,en,47.5
ceb,en,36.8
cs,en,40.8
cy,en,34.9
da,en,49.8
de,en,45.8
el,en,34.6
es,en,31.3
et,en,37.3
fa,en,34.3
ff,en,5.8
fi,en,35.1
fr,en,46.1
ga,en,14.2
gl,en,42.5
gu,en,20.1
ha,en,20.2
he,en,40.4
hi,en,38.3
hr,en,39.1
hu,en,37.0
hy,en,27.6
id,en,42.7
ig,en,16.8
is,en,32.4
it,en,34.6
ja,en,25.4
jv,en,26.5
ka,en,20.2
kk,en,23.0
km,en,21.3
kn,en,20.9
ko,en,27.4
lb,en,28.9
lg,en,6.4
ln,en,9.5
lo,en,20.2
lt,en,34.3
lv,en,35.0
mk,en,42.4
ml,en,30.4
mn,en,18.3
mr,en,30.2
ms,en,42.9
my,en,15.3
ne,en,35.8
nl,en,34.1
no,en,45.2
ns,en,15.3
oc,en,49.7
or,en,13.8
pa,en,20.7
pl,en,30.5
ps,en,22.5
pt,en,50.7
ro,en,43.9
ru,en,34.9
sd,en,4.8
sk,en,40.5
sl,en,36.4
so,en,17.2
sr,en,42.3
sv,en,49.0
sw,en,37.2
ta,en,20.1
th,en,26.3
tl,en,40.9
tr,en,38.7
uk,en,38.6
ur,en,29.4
uz,en,17.6
vi,en,35.3
wo,en,8.3
xh,en,22.7
yo,en,8.4
zh,en,29.2
zu,en,23.1
