src,trg,spm-sacre
af,ne,22.4
am,ne,12.7
ar,ne,0.1
ast,ne,18.9
az,ne,15.4
be,ne,13.2
bg,ne,20.9
bn,ne,18.9
bs,ne,21.0
ca,ne,20.4
ceb,ne,16.9
cs,ne,20.4
cy,ne,14.7
da,ne,21.9
de,ne,21.4
el,ne,18.6
en,ne,23.4
es,ne,18.0
et,ne,19.7
fa,ne,0.1
ff,ne,3.3
fi,ne,18.4
fr,ne,21.3
ga,ne,10.5
gl,ne,19.9
gu,ne,15.4
ha,ne,10.2
he,ne,0.1
hi,ne,22.7
hr,ne,19.8
hu,ne,19.4
hy,ne,15.9
id,ne,0.1
ig,ne,8.9
is,ne,16.1
it,ne,18.6
ja,ne,15.7
jv,ne,13.9
ka,ne,14.0
kk,ne,14.4
km,ne,11.7
kn,ne,14.1
ko,ne,16.5
lb,ne,15.0
lg,ne,2.8
ln,ne,4.3
lo,ne,10.7
lt,ne,18.8
lv,ne,19.7
mk,ne,20.8
ml,ne,18.6
mn,ne,12.0
mr,ne,19.9
ms,ne,18.9
my,ne,10.3
nl,ne,18.2
no,ne,19.7
ns,ne,6.7
oc,ne,19.9
or,ne,9.9
pa,ne,16.0
pl,ne,17.4
ps,ne,14.2
pt,ne,21.7
ro,ne,21.0
ru,ne,18.1
sd,ne,5.4
sk,ne,20.4
sl,ne,19.0
so,ne,9.3
sr,ne,21.0
sv,ne,21.3
sw,ne,17.8
ta,ne,16.0
th,ne,15.7
tl,ne,19.0
tr,ne,0.1
uk,ne,19.7
ur,ne,18.3
uz,ne,9.6
vi,ne,17.6
wo,ne,3.5
xh,ne,11.2
yo,ne,4.2
zh,ne,16.8
zu,ne,11.6
